i	a	145
a	tia	91
u	a	83
e	a	80
i	tia	78
e	tia	41
u	tia	39
o	tia	35
i	na	29
o	hia	24
o	a	23
u	ria	21
a	a	20
a	ina	18
a	ia	14
i	hia	11
o	na	10
a	hia	8
ā	tia	8
u	hia	7
a	ngia	7
u	mia	6
e	hia	6
o	ia	5
ā	ngia	5
o	kia	5
o	ria	5
i	ria	4
o	ngia	4
o	mia	4
u	ngia	3
e	ngia	3
i	ngia	3
ū	tia	3
ē	tia	2
i	nga	2
ī	a	2
u	kia	2
ī	tia	2
ō	kia	2
ū	ria	2
e	kia	2
ā	ria	2
ē	ngia	2
ā	kia	2
ā	ia	1
a	na	1
ō	ia	1
a	kia	1
ō	hia	1
ō	ngia	1
ū	ia	1
ū	hia	1
u	na	1
a	ria	1
ā	ina	1
u	ia	1
e	kina	1
ō	tia	1
ū	ngia	1
i	ia	1
