('low, back, unround, long',)	ia	1	0.0667	15
('high, central, round, short',)	ria	21	0.128	164
('high, central, round, short',)	ngia	3	0.0183	164
('high, front, unround, short',)	tia	79	0.2883	274
('high, front, unround, short',)	na	29	0.1058	274
('mid, back, round, short',)	na	10	0.087	115
('mid, front, unround, short',)	ngia	4	0.0299	134
('mid, back, round, short',)	hia	24	0.2087	115
('high, central, round, short',)	tia	40	0.2439	164
('high, front, unround, short',)	ria	4	0.0146	274
('high, central, round, short',)	a	83	0.5061	164
('high, front, unround, short',)	a	145	0.5292	274
('mid, back, round, short',)	ngia	4	0.0348	115
('high, central, round, short',)	mia	6	0.0366	164
('mid, front, unround, short',)	tia	41	0.306	134
('mid, front, unround, long',)	tia	2	0.6667	3
('mid, front, unround, short',)	a	80	0.597	134
('mid, back, round, short',)	tia	35	0.3043	115
('mid, back, round, short',)	a	23	0.2	115
('high, front, unround, short',)	nga	2	0.0073	274
('high, front, unround, long',)	a	2	0.6667	3
('mid, back, round, short',)	ia	5	0.0435	115
('high, central, round, short',)	kia	2	0.0122	164
('mid, back, round, short',)	mia	4	0.0348	115
('high, central, round, short',)	hia	7	0.0427	164
('high, front, unround, short',)	hia	11	0.0401	274
('low, back, unround, long',)	ngia	4	0.2667	15
('mid, back, round, long',)	ia	1	0.1667	6
('mid, front, unround, short',)	hia	6	0.0448	134
('mid, back, round, short',)	kia	5	0.0435	115
('high, front, unround, short',)	ngia	3	0.0109	274
('mid, back, round, long',)	hia	1	0.1667	6
('low, back, unround, long',)	tia	6	0.4	15
('mid, back, round, long',)	ngia	1	0.1667	6
('high, central, round, long',)	ia	1	0.125	8
('high, central, round, long',)	hia	1	0.125	8
('high, central, round, short',)	na	1	0.0061	164
('mid, back, round, short',)	ria	5	0.0435	115
('mid, back, round, long',)	kia	2	0.3333	6
('high, central, round, long',)	ria	2	0.25	8
('low, back, unround, long',)	ina	1	0.0667	15
('high, central, round, short',)	ia	1	0.0061	164
('mid, front, unround, short',)	kia	2	0.0149	134
('mid, front, unround, short',)	kina	1	0.0075	134
('high, front, unround, long',)	tia	1	0.3333	3
('high, central, round, long',)	tia	3	0.375	8
('mid, back, round, long',)	tia	1	0.1667	6
('low, back, unround, long',)	kia	2	0.1333	15
('mid, front, unround, long',)	ngia	1	0.3333	3
('high, central, round, long',)	ngia	1	0.125	8
('high, front, unround, short',)	ia	1	0.0036	274
('low, back, unround, long',)	ria	1	0.0667	15
