h	ria	1	0.0909	11
hh	ngia	1	0.0769	13
k	na	2	0.125	16
kk	na	1	0.1429	7
kr	tia	3	0.3333	9
krkr	tia	1	1.0	1
m	tia	2	0.2857	7
mn	ngia	1	0.1667	6
m	hia	1	0.1429	7
mm	tia	1	0.3333	3
pt	ria	2	0.2	10
p	hia	1	0.0714	14
pp	hia	1	0.25	4
p	ria	1	0.0714	14
pr	a	6	0.3529	17
r	hia	2	0.1667	12
rh	na	2	0.2	10
r	a	6	0.5	12
rtk	na	1	1.0	1
r	ngia	1	0.0833	12
rh	ina	1	0.1	10
r	mia	1	0.0833	12
rr	mia	1	0.1111	9
twh	tia	2	0.2857	7
tt	tia	2	0.1667	12
t	hia	1	0.0556	18
kh	tia	4	0.5714	7
r	tia	2	0.1667	12
wk	tia	1	0.5	2
wh	a	8	0.6667	12
wh	tia	4	0.3333	12
whn	tia	4	0.8	5
h	a	7	0.6364	11
k	a	5	0.3125	16
p	ina	2	0.1429	14
hh	a	7	0.5385	13
hr	a	8	0.5714	14
hh	tia	5	0.3846	13
hn	tia	1	0.2	5
hk	a	6	0.5455	11
hkr	a	1	1.0	1
hkhk	a	2	0.6667	3
hmn	tia	1	1.0	1
hn	a	4	0.8	5
hng	a	2	0.5	4
hp	nga	1	0.5	2
hhk	tia	1	1.0	1
hpp	tia	1	1.0	1
hwh	tia	1	1.0	1
hrhr	a	2	1.0	2
hng	tia	1	0.25	4
hhr	tia	2	1.0	2
hk	ia	2	0.1818	11
hk	tia	1	0.0909	11
hng	na	1	0.25	4
hpk	na	1	0.5	2
hr	tia	2	0.1429	14
hw	a	1	1.0	1
hk	na	2	0.1818	11
hkhk	na	1	0.3333	3
hkmrmr	a	1	1.0	1
hnghng	a	1	1.0	1
hp	kia	1	0.5	2
hr	hia	3	0.2143	14
hr	mia	1	0.0714	14
hrm	a	1	1.0	1
h	hia	1	0.0909	11
h	ia	1	0.0909	11
h	ina	1	0.0909	11
hm	a	1	1.0	1
hnhn	a	1	1.0	1
hpk	tia	1	0.5	2
ht	a	1	1.0	1
nk	tia	1	0.2	5
n	a	1	0.1667	6
n	mia	3	0.5	6
k	ngia	1	0.0625	16
khk	na	2	1.0	2
k	nga	1	0.0625	16
kngk	tia	1	1.0	1
kpn	hia	1	0.25	4
kkh	ria	1	1.0	1
kkr	hia	1	0.5	2
kk	ria	2	0.2857	7
kk	a	4	0.5714	7
kng	a	1	0.5	2
kp	a	4	0.8	5
kp	hia	1	0.2	5
krk	tia	1	1.0	1
krng	hia	1	0.5	2
krpt	a	1	1.0	1
krwh	a	1	1.0	1
kr	a	5	0.5556	9
kr	hia	1	0.1111	9
kt	ina	1	0.1111	9
kt	a	6	0.6667	9
kt	hia	2	0.2222	9
k	ria	1	0.0625	16
k	tia	1	0.0625	16
