ā	[]
ahu	['voiceless, glottal, oral, fricative']
ahuahu	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
ai	[]
āki	['voiceless, velar, oral, stop']
akiaki	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
ākiri	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
ākirikiri	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
ako	['voiceless, velar, oral, stop']
āmi	['voiced, bilabial, nasal, stop']
āmine	['voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
amo	['voiced, bilabial, nasal, stop']
amuamu	['voiced, bilabial, nasal, stop', 'voiced, bilabial, nasal, stop']
ao	[]
apiti	['voiceless, bilabial, oral, stop', 'voiceless, dental, oral, stop']
āpiti	['voiceless, bilabial, oral, stop', 'voiceless, dental, oral, stop']
apo	['voiceless, bilabial, oral, stop']
apoapo	['voiceless, bilabial, oral, stop', 'voiceless, bilabial, oral, stop']
apu	['voiceless, bilabial, oral, stop']
āpuru	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
ara	['voiced, dental-alveolar, oral, flap']
arahi	['voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative']
ārahi	['voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative']
ārai	['voiced, dental-alveolar, oral, flap']
arataki	['voiced, dental-alveolar, oral, flap', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop']
aro	['voiced, dental-alveolar, oral, flap']
aroha	['voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative']
aru	['voiced, dental-alveolar, oral, flap']
aruaru	['voiced, dental-alveolar, oral, flap', 'voiced, dental-alveolar, oral, flap']
atawhai	['voiceless, dental, oral, stop', 'voiceless, labio-dental, oral, fricative']
ātete	['voiceless, dental, oral, stop', 'voiceless, dental, oral, stop']
ato	['voiceless, dental, oral, stop']
auē	[]
aukaha	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
auru	['voiced, dental-alveolar, oral, flap']
aweke	['voiced, bilabial, oral, approximant', 'voiceless, velar, oral, stop']
awhe	['voiceless, labio-dental, oral, fricative']
awhi	['voiceless, labio-dental, oral, fricative']
awhina	['voiceless, labio-dental, oral, fricative', 'voiced, dental, nasal, stop']
āwhina	['voiceless, labio-dental, oral, fricative', 'voiced, dental, nasal, stop']
āwhio	['voiceless, labio-dental, oral, fricative']
ehu	['voiceless, glottal, oral, fricative']
eke	['voiceless, velar, oral, stop']
epa	['voiceless, bilabial, oral, stop']
whakarārangi	['voiceless, labio-dental, oral, fricative', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, dental-alveolar, oral, flap', 'voiced, velar, nasal, stop']
haehae	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
haere	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hahau	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hāhau	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hahu	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
haina	['voiceless, glottal, oral, fricative', 'voiced, dental, nasal, stop']
haka	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hākere	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
haku	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hakuhaku	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hāmene	['voiceless, glottal, oral, fricative', 'voiced, bilabial, nasal, stop', 'voiced, dental, nasal, stop']
hane	['voiceless, glottal, oral, fricative', 'voiced, dental, nasal, stop']
hanga	['voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
hao	['voiceless, glottal, oral, fricative']
hāpai	['voiceless, glottal, oral, fricative', 'voiceless, bilabial, oral, stop']
hari	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hauhake	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
haupapa	['voiceless, glottal, oral, fricative', 'voiceless, bilabial, oral, stop', 'voiceless, bilabial, oral, stop']
hāwhe	['voiceless, glottal, oral, fricative', 'voiceless, labio-dental, oral, fricative']
heke	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
here	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
herehere	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
heru	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
heu	['voiceless, glottal, oral, fricative']
heuheu	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hī	['voiceless, glottal, oral, fricative']
hiahia	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hīanga	['voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
hihira	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hihiri	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hika	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hiki	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hiko	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hinga	['voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
hīpoki	['voiceless, glottal, oral, fricative', 'voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop']
hīrau	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hīri	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hirihiri	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hiwi	['voiceless, glottal, oral, fricative', 'voiced, bilabial, oral, approximant']
hoe	['voiceless, glottal, oral, fricative']
hohou	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hoki	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hoko	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hokohoko	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hokomirimori	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
hongi	['voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
hongihongi	['voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop', 'voiceless, glottal, oral, fricative', 'voiced, velar, nasal, stop']
hono	['voiceless, glottal, oral, fricative', 'voiced, dental, nasal, stop']
hopu	['voiceless, glottal, oral, fricative', 'voiceless, bilabial, oral, stop']
hora	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
hori	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
horo	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
horo	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
horoi	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
horomi	['voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap', 'voiced, bilabial, nasal, stop']
hou	['voiceless, glottal, oral, fricative']
houhou	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hua	['voiceless, glottal, oral, fricative']
hua	['voiceless, glottal, oral, fricative']
huaki	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
huhu	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
hui	['voiceless, glottal, oral, fricative']
huihui	['voiceless, glottal, oral, fricative', 'voiceless, glottal, oral, fricative']
huke	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
huki	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hukihuki	['voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
hume	['voiceless, glottal, oral, fricative', 'voiced, bilabial, nasal, stop']
huna	['voiceless, glottal, oral, fricative', 'voiced, dental, nasal, stop']
