('labial', 'coronal')	a	29
('coronal', 'coronal')	a	27
('labial', 'coronal')	tia	26
('coronal', 'labial')	a	20
('labial',)	a	13
('glottal', 'coronal')	a	13
('velar', 'coronal')	a	13
('coronal',)	a	12
('coronal', 'glottal')	a	12
('labial', 'velar')	a	11
('labial', 'velar', 'labial', 'coronal')	a	11
('labial', 'velar')	tia	10
('labial', 'labial')	a	10
('labial', 'velar', 'coronal')	a	10
('coronal', 'labial', 'coronal')	tia	10
('coronal', 'velar')	hia	9
('labial', 'velar', 'labial', 'coronal')	tia	9
('coronal', 'labial')	tia	8
('glottal', 'velar')	a	8
('velar', 'labial', 'coronal')	a	8
('labial',)	tia	7
('glottal',)	a	7
('velar',)	a	7
('glottal', 'glottal')	a	7
('coronal', 'velar')	tia	7
('velar', 'velar')	a	7
('velar', 'labial')	a	7
('labial', 'glottal')	a	7
('labial', 'coronal', 'labial', 'coronal')	a	7
('labial', 'velar', 'coronal')	tia	7
('coronal', 'velar')	a	7
('labial', 'velar', 'labial')	a	7
('labial', 'velar', 'labial', 'labial')	tia	7
('labial', 'velar', 'coronal', 'coronal')	a	7
('coronal', 'coronal')	tia	6
('labial', 'coronal', 'velar')	tia	6
('labial', 'coronal')	hia	6
('coronal', 'glottal')	tia	6
('coronal', 'velar', 'coronal')	tia	6
('coronal', 'labial', 'velar')	tia	6
('coronal', 'coronal', 'labial')	tia	6
('labial', 'labial')	tia	5
('coronal', 'coronal', 'velar')	na	5
('coronal',)	tia	5
('glottal', 'glottal')	tia	5
('coronal',)	ina	5
('coronal', 'velar')	na	5
('labial', 'velar', 'glottal')	tia	5
('labial', 'velar', 'labial', 'glottal')	a	5
('velar', 'coronal')	tia	4
('coronal',)	mia	4
('velar', 'glottal')	tia	4
('velar', 'labial', 'coronal')	tia	4
('velar', 'glottal')	a	4
('labial', 'glottal', 'coronal')	tia	4
('labial', 'coronal', 'coronal')	tia	4
('labial', 'glottal')	tia	4
('labial', 'coronal')	kia	4
('coronal', 'coronal', 'velar')	tia	4
('labial', 'velar', 'labial')	tia	4
('labial', 'velar', 'glottal', 'coronal')	a	4
('labial', 'velar', 'coronal', 'coronal', 'velar')	tia	4
('labial', 'coronal')	ria	3
('coronal',)	hia	3
('coronal', 'glottal')	na	3
('coronal', 'coronal')	mia	3
('glottal', 'coronal')	tia	3
('glottal', 'velar', 'glottal', 'velar')	a	3
('glottal', 'coronal', 'glottal', 'coronal')	a	3
('glottal', 'velar')	na	3
('glottal', 'coronal')	hia	3
('velar', 'coronal')	hia	3
('velar', 'labial', 'velar')	na	3
('velar',)	ia	3
('labial', 'glottal', 'labial', 'glottal')	a	3
('labial', 'velar', 'coronal')	hia	3
('labial', 'velar', 'coronal')	ria	3
('labial', 'coronal')	ia	3
('labial',)	ngia	3
('labial', 'velar', 'velar')	tia	3
('labial', 'labial', 'coronal')	tia	3
('labial', 'coronal', 'labial')	tia	3
('coronal', 'glottal', 'coronal', 'glottal')	a	3
('coronal', 'velar', 'coronal', 'velar')	a	3
('coronal', 'coronal', 'labial')	a	3
('coronal', 'coronal')	ngia	3
('coronal', 'labial', 'velar')	na	3
('coronal', 'labial', 'labial')	tia	3
('coronal', 'labial', 'coronal')	a	3
('coronal', 'glottal', 'coronal')	a	3
('labial', 'velar', 'velar')	a	3
('labial', 'velar', 'velar', 'coronal')	tia	3
('labial', 'velar', 'labial', 'glottal', 'coronal')	tia	3
('labial', 'velar', 'labial', 'velar', 'velar')	tia	3
('labial', 'velar', 'coronal', 'labial')	tia	3
