h	ria	0.0459	5	109
h	ngia	0.0459	5	109
k	na	0.2201	35	159
r	tia	0.4	80	200
m	tia	0.4419	19	43
n	ngia	0.0133	1	75
m	hia	0.0698	3	43
t	ria	0.161	19	118
p	hia	0.0972	7	72
p	ria	0.0833	6	72
r	a	0.43	86	200
r	hia	0.105	21	200
h	na	0.0275	3	109
r	ngia	0.03	6	200
h	ina	0.0275	3	109
r	mia	0.025	5	200
wh	tia	0.2821	11	39
t	tia	0.161	19	118
t	hia	0.0763	9	118
h	tia	0.3486	38	109
k	tia	0.3019	48	159
wh	a	0.6667	26	39
n	tia	0.4133	31	75
h	a	0.4587	50	109
k	a	0.2579	41	159
p	ina	0.0278	2	72
n	a	0.3733	28	75
ng	a	0.3111	14	45
p	nga	0.0139	1	72
p	tia	0.2361	17	72
ng	tia	0.4444	20	45
k	ia	0.0503	8	159
ng	na	0.0222	1	45
w	a	0.3636	8	22
p	kia	0.0278	2	72
m	a	0.4186	18	43
h	hia	0.0092	1	109
h	ia	0.0275	3	109
t	a	0.4068	48	118
n	mia	0.08	6	75
k	ngia	0.0252	4	159
k	nga	0.0063	1	159
n	hia	0.0533	4	75
k	ria	0.0377	6	159
p	a	0.375	27	72
ng	hia	0.2	9	45
t	ina	0.0678	8	118
k	ina	0.0314	5	159
k	hia	0.0692	11	159
m	ria	0.0233	1	43
n	kia	0.0267	2	75
t	kia	0.0508	6	118
n	ia	0.04	3	75
m	kia	0.0465	2	43
p	ngia	0.0833	6	72
w	tia	0.5455	12	22
p	ia	0.0556	4	72
t	ngia	0.0593	7	118
t	na	0.0085	1	118
r	na	0.005	1	200
h	kia	0.0092	1	109
wh	ia	0.0256	1	39
ng	ia	0.0222	1	45
w	ia	0.0455	1	22
r	ia	0.005	1	200
w	kia	0.0455	1	22
t	ia	0.0085	1	118
wh	ria	0.0256	1	39
