('voiceless, glottal, oral, fricative',)	ria	0.0424	5	118
('voiceless, glottal, oral, fricative',)	ngia	0.0424	5	118
('voiceless, velar, oral, stop',)	na	0.2201	35	159
('voiced, dental-alveolar, oral, flap',)	tia	0.4	80	200
('voiced, bilabial, nasal, stop',)	tia	0.4419	19	43
('voiced, dental, nasal, stop',)	ngia	0.0133	1	75
('voiced, bilabial, nasal, stop',)	hia	0.0698	3	43
('voiceless, dental, oral, stop',)	ria	0.161	19	118
('voiceless, bilabial, oral, stop',)	hia	0.0972	7	72
('voiceless, bilabial, oral, stop',)	ria	0.0833	6	72
('voiced, dental-alveolar, oral, flap',)	a	0.43	86	200
('voiced, dental-alveolar, oral, flap',)	hia	0.105	21	200
('voiceless, glottal, oral, fricative',)	na	0.0254	3	118
('voiced, dental-alveolar, oral, flap',)	ngia	0.03	6	200
('voiceless, glottal, oral, fricative',)	ina	0.0254	3	118
('voiced, dental-alveolar, oral, flap',)	mia	0.025	5	200
('voiceless, labio-dental, oral, fricative',)	tia	0.3333	10	30
('voiceless, dental, oral, stop',)	tia	0.161	19	118
('voiceless, dental, oral, stop',)	hia	0.0763	9	118
('voiceless, glottal, oral, fricative',)	tia	0.3305	39	118
('voiceless, velar, oral, stop',)	tia	0.3019	48	159
('voiceless, labio-dental, oral, fricative',)	a	0.6	18	30
('voiced, dental, nasal, stop',)	tia	0.4133	31	75
('voiceless, glottal, oral, fricative',)	a	0.4915	58	118
('voiceless, velar, oral, stop',)	a	0.2579	41	159
('voiceless, bilabial, oral, stop',)	ina	0.0278	2	72
('voiced, dental, nasal, stop',)	a	0.3733	28	75
('voiced, velar, nasal, stop',)	a	0.3111	14	45
('voiceless, bilabial, oral, stop',)	nga	0.0139	1	72
('voiceless, bilabial, oral, stop',)	tia	0.2361	17	72
('voiced, velar, nasal, stop',)	tia	0.4444	20	45
('voiceless, velar, oral, stop',)	ia	0.0503	8	159
('voiced, velar, nasal, stop',)	na	0.0222	1	45
('voiced, bilabial, oral, approximant',)	a	0.3636	8	22
('voiceless, bilabial, oral, stop',)	kia	0.0278	2	72
('voiced, bilabial, nasal, stop',)	a	0.4186	18	43
('voiceless, glottal, oral, fricative',)	hia	0.0085	1	118
('voiceless, glottal, oral, fricative',)	ia	0.0254	3	118
('voiceless, dental, oral, stop',)	a	0.4068	48	118
('voiced, dental, nasal, stop',)	mia	0.08	6	75
('voiceless, velar, oral, stop',)	ngia	0.0252	4	159
('voiceless, velar, oral, stop',)	nga	0.0063	1	159
('voiced, dental, nasal, stop',)	hia	0.0533	4	75
('voiceless, velar, oral, stop',)	ria	0.0377	6	159
('voiceless, bilabial, oral, stop',)	a	0.375	27	72
('voiced, velar, nasal, stop',)	hia	0.2	9	45
('voiceless, dental, oral, stop',)	ina	0.0678	8	118
('voiceless, velar, oral, stop',)	ina	0.0314	5	159
('voiceless, velar, oral, stop',)	hia	0.0692	11	159
('voiced, bilabial, nasal, stop',)	ria	0.0233	1	43
('voiced, dental, nasal, stop',)	kia	0.0267	2	75
('voiceless, dental, oral, stop',)	kia	0.0508	6	118
('voiced, dental, nasal, stop',)	ia	0.04	3	75
('voiced, bilabial, nasal, stop',)	kia	0.0465	2	43
('voiceless, bilabial, oral, stop',)	ngia	0.0833	6	72
('voiced, bilabial, oral, approximant',)	tia	0.5455	12	22
('voiceless, bilabial, oral, stop',)	ia	0.0556	4	72
('voiceless, dental, oral, stop',)	ngia	0.0593	7	118
('voiceless, dental, oral, stop',)	na	0.0085	1	118
('voiced, dental-alveolar, oral, flap',)	na	0.005	1	200
('voiceless, glottal, oral, fricative',)	kia	0.0085	1	118
('voiceless, labio-dental, oral, fricative',)	ia	0.0333	1	30
('voiced, velar, nasal, stop',)	ia	0.0222	1	45
('voiced, bilabial, oral, approximant',)	ia	0.0455	1	22
('voiced, dental-alveolar, oral, flap',)	ia	0.005	1	200
('voiced, bilabial, oral, approximant',)	kia	0.0455	1	22
('voiceless, dental, oral, stop',)	ia	0.0085	1	118
('voiceless, labio-dental, oral, fricative',)	ria	0.0333	1	30
