('-nas',)	ria	0.0617	5	81
('-nas', '-nas')	ngia	0.0308	8	260
('-nas',)	na	0.037	3	81
('-nas', '-nas')	na	0.05	13	260
('-nas', '-nas')	tia	0.25	65	260
('-nas', '-nas', '-nas', '-nas')	tia	0.266	25	94
('+nas',)	tia	0.1875	3	16
('+nas', '+nas')	ngia	0.0714	1	14
('+nas',)	hia	0.125	2	16
('+nas', '+nas')	tia	0.2857	4	14
('-nas', '-nas')	ria	0.0346	9	260
('-nas',)	hia	0.0617	5	81
('-nas', '-nas')	hia	0.0731	19	260
('-nas', '-nas')	a	0.4962	129	260
('-nas',)	a	0.4198	34	81
('-nas', '-nas', '-nas')	na	0.0986	14	142
('-nas',)	ngia	0.0741	6	81
('-nas', '-nas')	ina	0.0192	5	260
('-nas',)	mia	0.0123	1	81
('-nas', '-nas')	mia	0.0077	2	260
('-nas',)	tia	0.1235	10	81
('-nas', '+nas')	tia	0.3559	21	59
('-nas',)	ina	0.1235	10	81
('-nas', '-nas', '-nas')	a	0.2535	36	142
('-nas', '-nas', '-nas', '-nas')	a	0.5	47	94
('-nas', '+nas', '+nas')	tia	0.8	4	5
('-nas', '+nas')	a	0.4746	28	59
('-nas', '-nas')	nga	0.0038	1	260
('-nas', '-nas', '-nas')	tia	0.4577	65	142
('-nas', '-nas')	ia	0.0231	6	260
('-nas', '+nas')	na	0.0169	1	59
('-nas', '-nas', '-nas', '-nas')	na	0.0532	5	94
('-nas', '-nas', '+nas', '-nas', '+nas', '-nas')	a	1.0	1	1
('-nas', '+nas', '-nas', '+nas')	a	0.8571	6	7
('-nas', '-nas')	kia	0.0115	3	260
('-nas', '-nas', '+nas')	a	0.303	10	33
('-nas',)	ia	0.0617	5	81
('+nas', '-nas')	tia	0.1212	4	33
('+nas',)	a	0.3125	5	16
('+nas',)	mia	0.1875	3	16
('-nas',)	nga	0.0123	1	81
('-nas', '+nas', '-nas')	tia	0.4667	7	15
('-nas', '-nas', '+nas')	hia	0.1212	4	33
('-nas', '-nas', '-nas')	ria	0.0634	9	142
('-nas', '-nas', '-nas')	hia	0.0634	9	142
('-nas', '-nas', '+nas')	tia	0.5455	18	33
('-nas', '+nas')	hia	0.1017	6	59
('-nas', '+nas', '-nas')	a	0.3333	5	15
('-nas', '-nas', '+nas', '-nas', '+nas')	tia	1.0	3	3
('+nas', '-nas', '+nas')	tia	1.0	3	3
('+nas', '-nas', '-nas')	tia	0.625	5	8
('+nas', '-nas', '-nas', '-nas', '-nas')	tia	0.5	1	2
('+nas', '-nas')	a	0.6061	20	33
('+nas', '-nas', '+nas', '-nas')	a	0.5714	4	7
('+nas', '-nas', '-nas')	hia	0.125	1	8
('+nas', '-nas', '-nas')	ria	0.125	1	8
('+nas', '+nas', '+nas')	tia	1.0	1	1
('+nas', '+nas', '-nas')	tia	0.5	2	4
('+nas', '+nas', '-nas')	hia	0.5	2	4
('+nas', '+nas')	a	0.4286	6	14
('+nas', '-nas')	hia	0.1212	4	33
('+nas', '-nas', '-nas')	na	0.125	1	8
('+nas', '-nas', '-nas', '-nas', '-nas')	na	0.5	1	2
('+nas', '-nas')	ria	0.0303	1	33
('+nas',)	ria	0.0625	1	16
('+nas', '-nas', '+nas', '-nas')	hia	0.4286	3	7
('+nas', '+nas')	kia	0.0714	1	14
('+nas', '-nas')	kia	0.0303	1	33
('+nas', '+nas')	ia	0.0714	1	14
('+nas', '+nas')	mia	0.0714	1	14
('+nas', '-nas')	mia	0.0303	1	33
('+nas', '-nas')	ia	0.0606	2	33
('+nas',)	kia	0.125	2	16
('-nas', '-nas', '-nas', '-nas', '-nas')	a	0.1379	4	29
('-nas', '-nas', '-nas', '-nas', '-nas')	tia	0.6552	19	29
('-nas', '+nas')	ia	0.0169	1	59
('-nas', '+nas', '-nas')	na	0.0667	1	15
('-nas', '-nas', '-nas', '+nas')	tia	0.5	6	12
('-nas', '+nas', '+nas')	a	0.2	1	5
('-nas', '+nas')	mia	0.0169	1	59
('-nas', '-nas', '-nas', '-nas')	ia	0.0426	4	94
('-nas', '+nas', '-nas')	ria	0.0667	1	15
('-nas', '+nas', '-nas', '+nas')	tia	0.1429	1	7
('-nas', '-nas', '-nas', '-nas', '-nas')	na	0.0345	1	29
('-nas',)	kia	0.0123	1	81
('-nas', '-nas', '-nas', '-nas')	ina	0.0213	2	94
('-nas', '+nas')	kia	0.0169	1	59
('-nas', '+nas', '+nas', '-nas')	hia	1.0	1	1
('-nas', '-nas', '-nas')	kia	0.0282	4	142
('-nas', '-nas', '-nas')	ngia	0.0352	5	142
('-nas', '-nas', '-nas', '-nas')	kia	0.0106	1	94
('-nas', '+nas', '-nas')	hia	0.0667	1	15
('-nas', '-nas', '-nas', '-nas', '-nas')	ria	0.1034	3	29
('-nas', '-nas', '-nas', '+nas', '-nas')	tia	0.8	4	5
('-nas', '-nas', '-nas', '+nas', '+nas')	tia	1.0	1	1
('-nas', '-nas', '-nas', '+nas')	a	0.1667	2	12
('-nas', '-nas', '-nas', '+nas')	ia	0.1667	2	12
('-nas', '-nas', '-nas', '-nas', '-nas', '-nas')	tia	0.375	3	8
('-nas', '-nas', '+nas')	mia	0.0303	1	33
('-nas', '-nas', '-nas', '-nas')	ngia	0.0532	5	94
('-nas', '-nas', '-nas', '-nas', '-nas', '-nas')	ia	0.125	1	8
('-nas', '-nas', '-nas', '-nas', '+nas', '-nas')	tia	1.0	2	2
('-nas', '-nas', '+nas', '-nas', '-nas')	tia	0.6	6	10
('-nas', '-nas', '+nas', '-nas')	a	0.4286	6	14
('-nas', '-nas', '+nas', '+nas')	tia	0.5	3	6
('-nas', '-nas', '+nas', '+nas')	hia	0.1667	1	6
('-nas', '-nas', '+nas', '+nas', '-nas')	tia	1.0	1	1
('-nas', '-nas', '+nas', '-nas')	tia	0.3571	5	14
('-nas', '-nas', '+nas', '-nas', '-nas')	ria	0.3	3	10
('-nas', '-nas', '+nas', '-nas')	ria	0.0714	1	14
('-nas', '-nas', '+nas', '+nas')	a	0.3333	2	6
('-nas', '-nas', '+nas', '-nas')	mia	0.0714	1	14
('-nas', '-nas', '+nas', '-nas', '-nas')	hia	0.1	1	10
('-nas', '-nas', '+nas', '-nas')	ia	0.0714	1	14
('-nas', '-nas', '-nas', '-nas', '-nas')	ngia	0.069	2	29
('-nas', '-nas', '-nas', '+nas')	hia	0.1667	2	12
('-nas', '-nas', '-nas', '-nas')	hia	0.0213	2	94
('-nas', '-nas', '-nas', '+nas', '-nas', '-nas')	tia	1.0	1	1
('-nas', '-nas', '-nas', '-nas', '-nas', '-nas')	ngia	0.125	1	8
('-nas', '-nas', '-nas', '-nas', '+nas')	tia	1.0	2	2
('-nas', '-nas', '-nas', '-nas', '-nas', '-nas')	na	0.125	1	8
('-nas', '-nas', '-nas', '-nas', '-nas', '-nas', '-nas')	ria	1.0	1	1
