('-c',)	ria	0.0769	1	13
('-c', '-c')	ngia	0.0526	1	19
('+c',)	na	0.0357	3	84
('+c', '+c')	na	0.0315	8	254
('+c', '+c')	tia	0.2598	66	254
('+c', '+c', '+c', '+c')	tia	0.2967	27	91
('+c',)	tia	0.1429	12	84
('+c', '+c')	ngia	0.0276	7	254
('+c',)	hia	0.0714	6	84
('+c', '+c')	ria	0.0315	8	254
('+c', '+c')	hia	0.0945	24	254
('+c',)	ria	0.0595	5	84
('+c', '+c')	a	0.4803	122	254
('+c', '-c')	na	0.0682	3	44
('+c',)	a	0.369	31	84
('+c', '+c', '+c')	na	0.0844	13	154
('+c',)	ngia	0.0714	6	84
('+c', '-c')	ina	0.0227	1	44
('+c',)	mia	0.0476	4	84
('+c', '+c')	mia	0.0157	4	254
('+c', '-c')	tia	0.3182	14	44
('-c', '+c')	tia	0.1633	8	49
('-c',)	a	0.6154	8	13
('+c',)	ina	0.1071	9	84
('-c', '-c')	a	0.6316	12	19
('-c', '+c')	a	0.551	27	49
('-c', '-c')	tia	0.3158	6	19
('-c', '+c', '+c')	a	0.25	2	8
('-c', '+c', '-c', '+c')	a	0.6667	6	9
('-c', '+c', '+c')	tia	0.5	4	8
('-c', '+c')	nga	0.0204	1	49
('-c', '-c', '+c')	tia	1.0	4	4
('-c', '+c')	ia	0.0408	2	49
('-c', '+c')	na	0.0612	3	49
('-c', '+c', '+c')	na	0.125	1	8
('-c', '+c', '-c', '+c')	na	0.1111	1	9
('-c', '+c', '+c', '+c', '+c', '+c')	a	1.0	1	1
('-c', '+c')	kia	0.0408	2	49
('-c', '+c')	hia	0.102	5	49
('-c', '+c')	mia	0.0204	1	49
('-c',)	hia	0.0769	1	13
('-c',)	ia	0.0769	1	13
('-c',)	ina	0.0769	1	13
('+c', '-c', '+c')	na	0.1176	2	17
('+c',)	nga	0.0119	1	84
('+c', '+c', '+c')	tia	0.461	71	154
('+c', '+c', '+c')	hia	0.1039	16	154
('+c', '-c')	ria	0.0455	2	44
('+c', '+c', '-c')	ria	0.0417	1	24
('+c', '+c', '+c', '+c')	a	0.4066	37	91
('+c', '+c', '+c')	a	0.2468	38	154
('+c', '+c')	ina	0.0157	4	254
('+c', '-c')	a	0.5	22	44
('+c', '-c', '+c')	tia	0.5882	10	17
('+c',)	ia	0.0476	4	84
('+c', '-c', '+c', '-c')	a	0.8571	6	7
('+c', '-c', '+c')	a	0.2353	4	17
('+c', '+c', '+c', '+c', '+c')	tia	0.6429	18	28
('+c', '-c', '+c', '-c', '+c')	tia	1.0	1	1
('+c', '+c', '+c')	ria	0.0649	10	154
('+c', '+c', '+c', '+c', '+c')	na	0.0714	2	28
('+c', '+c', '+c', '+c')	hia	0.0989	9	91
('+c', '+c')	kia	0.0157	4	254
('+c', '+c')	ia	0.0276	7	254
('+c', '-c')	ia	0.0227	1	44
('+c',)	kia	0.0357	3	84
('+c', '+c', '+c', '-c')	tia	0.3846	5	13
('+c', '+c', '+c', '+c', '+c')	a	0.0714	2	28
('+c', '+c', '-c')	tia	0.5833	14	24
('+c', '+c', '+c', '+c', '-c')	tia	0.7143	5	7
('+c', '-c', '-c')	tia	0.5	1	2
('+c', '+c', '-c')	a	0.25	6	24
('+c', '-c', '-c', '-c', '-c')	tia	1.0	1	1
('+c', '+c', '-c', '+c')	tia	0.3333	5	15
('+c', '+c', '+c', '+c')	na	0.044	4	91
('+c', '+c', '+c', '+c')	ia	0.044	4	91
('+c', '+c', '+c', '+c', '-c')	a	0.1429	1	7
('+c', '+c', '-c', '+c', '-c')	tia	1.0	1	1
('+c', '-c', '-c')	a	0.5	1	2
('+c', '-c', '+c')	hia	0.0588	1	17
('+c', '-c', '+c', '-c')	ina	0.1429	1	7
('+c', '-c')	ngia	0.0227	1	44
('+c', '+c', '-c')	kia	0.0833	2	24
('-c', '-c', '-c')	a	1.0	1	1
('-c',)	tia	0.0769	1	13
('-c', '+c', '+c')	ngia	0.125	1	8
('-c', '+c', '-c')	tia	1.0	1	1
('-c', '+c', '-c', '+c')	tia	0.1111	1	9
('-c', '-c', '-c', '-c')	a	1.0	1	1
('-c', '+c', '-c', '+c')	kia	0.1111	1	9
('+c', '+c', '+c', '+c', '-c')	ria	0.1429	1	7
('+c', '+c', '-c', '-c')	a	0.6	3	5
('+c', '+c', '-c', '-c')	tia	0.4	2	5
('+c', '+c', '-c', '+c')	a	0.6	9	15
('+c', '+c', '-c', '+c', '+c')	tia	1.0	3	3
('+c', '+c', '-c')	ngia	0.0417	1	24
('+c', '+c', '-c', '+c')	ia	0.0667	1	15
('+c', '+c', '-c', '-c', '+c')	tia	1.0	2	2
('+c', '+c', '-c', '+c', '-c', '+c')	tia	1.0	1	1
('+c', '+c', '+c')	mia	0.0065	1	154
('+c', '+c', '+c')	ngia	0.0195	3	154
('+c', '+c', '+c', '-c')	ngia	0.0769	1	13
('+c', '+c', '+c', '-c', '+c')	tia	0.6667	6	9
('+c', '+c', '+c', '+c', '+c', '+c')	ia	0.1	1	10
('+c', '+c', '+c', '+c', '+c', '+c')	tia	0.4	4	10
('+c', '+c', '+c', '-c')	a	0.3846	5	13
('+c', '+c', '+c', '+c', '+c')	ria	0.1786	5	28
('+c', '+c', '+c', '+c')	ria	0.044	4	91
('+c', '+c', '+c', '+c')	mia	0.011	1	91
('+c', '+c', '+c', '-c', '+c')	hia	0.1111	1	9
('+c', '+c', '+c', '-c')	ia	0.1538	2	13
('+c', '+c', '+c')	kia	0.013	2	154
('+c', '+c', '+c', '+c', '-c', '+c')	tia	1.0	1	1
('+c', '+c', '+c', '-c', '-c')	ngia	1.0	1	1
('+c', '+c', '+c', '-c', '+c')	a	0.1111	1	9
('+c', '+c', '+c', '+c')	ina	0.011	1	91
('+c', '+c', '+c', '+c')	ngia	0.044	4	91
('+c', '+c', '+c', '+c', '+c', '+c')	ngia	0.1	1	10
('+c', '+c', '+c', '-c', '+c')	ngia	0.1111	1	9
('+c', '+c', '+c', '+c', '+c', '+c')	na	0.1	1	10
('+c', '+c', '+c', '+c', '+c', '+c', '+c')	ria	1.0	1	1
('+c', '+c', '+c', '+c', '+c', '+c')	hia	0.2	2	10
('+c', '+c', '+c', '+c', '+c', '+c')	ina	0.1	1	10
('+c', '+c', '+c', '+c', '+c')	ngia	0.0357	1	28
