ria	('-son',)	0.0746	5	67
ngia	('-son', '-son')	0.026	4	154
na	('-son',)	0.0448	3	67
na	('-son', '-son')	0.0584	9	154
tia	('-son', '+son')	0.3679	39	106
tia	('-son', '+son', '-son', '+son')	0.25	3	12
tia	('+son',)	0.2	6	30
ngia	('+son', '+son')	0.0426	2	47
hia	('+son',)	0.1333	4	30
tia	('+son', '+son')	0.1702	8	47
ria	('-son', '-son')	0.0584	9	154
hia	('-son',)	0.0448	3	67
hia	('-son', '-son')	0.0455	7	154
a	('-son', '+son')	0.4811	51	106
na	('+son', '-son')	0.0508	3	59
a	('+son',)	0.4	12	30
na	('+son', '-son', '-son')	0.25	2	8
ngia	('+son',)	0.0333	1	30
ina	('+son', '-son')	0.0169	1	59
mia	('+son',)	0.1333	4	30
mia	('+son', '+son')	0.0638	3	47
tia	('-son', '-son')	0.2403	37	154
tia	('+son', '-son')	0.1695	10	59
a	('-son',)	0.403	27	67
tia	('-son',)	0.1045	7	67
ina	('-son',)	0.1493	10	67
a	('-son', '-son')	0.487	75	154
a	('-son', '-son', '+son')	0.4	26	65
a	('-son', '-son', '-son', '-son')	0.4565	21	46
tia	('-son', '+son', '+son')	0.72	18	25
nga	('-son', '-son')	0.0065	1	154
tia	('-son', '-son', '-son')	0.3824	26	68
a	('-son', '+son', '-son', '+son')	0.75	9	12
tia	('-son', '-son', '+son')	0.4462	29	65
ia	('-son', '-son')	0.039	6	154
na	('-son', '+son')	0.0189	2	106
na	('-son', '-son', '-son')	0.1765	12	68
na	('-son', '-son', '-son', '-son')	0.1087	5	46
a	('-son', '-son', '+son', '+son', '+son', '+son')	1.0	1	1
kia	('-son', '-son')	0.013	2	154
hia	('-son', '+son')	0.0849	9	106
mia	('-son', '+son')	0.0189	2	106
a	('-son', '+son', '+son')	0.2	5	25
ia	('-son',)	0.0746	5	67
ngia	('-son',)	0.0746	5	67
nga	('-son',)	0.0149	1	67
tia	('-son', '+son', '-son')	0.5294	9	17
hia	('-son', '-son', '+son')	0.1077	7	65
ria	('-son', '-son', '-son')	0.1324	9	68
hia	('-son', '+son', '+son')	0.08	2	25
a	('-son', '+son', '-son', '-son')	1.0	1	1
a	('-son', '+son', '-son')	0.2941	5	17
ina	('-son', '-son')	0.026	4	154
tia	('-son', '-son', '+son', '-son', '+son')	0.8571	6	7
hia	('-son', '-son', '-son')	0.0294	2	68
tia	('+son', '-son', '+son')	0.75	6	8
tia	('+son', '-son', '+son', '-son', '+son')	1.0	1	1
a	('+son', '-son')	0.5424	32	59
a	('+son', '-son', '+son', '-son')	0.6	6	10
hia	('+son', '-son', '+son')	0.125	1	8
ria	('+son', '-son', '-son')	0.125	1	8
tia	('+son', '+son', '+son')	0.8333	5	6
tia	('+son', '+son', '-son')	0.5	7	14
hia	('+son', '+son', '-son')	0.2143	3	14
a	('+son', '+son')	0.5319	25	47
hia	('+son', '+son')	0.1489	7	47
na	('+son', '-son', '-son', '-son', '-son')	1.0	1	1
ria	('+son', '-son')	0.0169	1	59
ria	('+son',)	0.0333	1	30
hia	('+son', '-son', '+son', '-son')	0.3	3	10
tia	('+son', '-son', '-son')	0.625	5	8
kia	('+son', '+son')	0.0213	1	47
kia	('+son', '-son')	0.0339	2	59
hia	('+son', '-son')	0.1017	6	59
ia	('+son', '+son')	0.0213	1	47
ia	('+son', '-son')	0.0339	2	59
kia	('+son',)	0.0667	2	30
tia	('-son', '-son', '+son', '-son')	0.2941	5	17
a	('-son', '-son', '+son', '-son', '+son')	0.1429	1	7
tia	('-son', '+son', '-son', '-son', '-son')	1.0	1	1
ngia	('-son', '+son')	0.0094	1	106
ia	('-son', '+son')	0.0094	1	106
a	('+son', '+son', '-son')	0.2143	3	14
a	('+son', '+son', '+son', '+son')	0.6667	2	3
ngia	('+son', '-son')	0.0339	2	59
hia	('+son', '+son', '+son')	0.1667	1	6
na	('+son', '+son', '-son')	0.0714	1	14
a	('-son', '-son', '-son')	0.1912	13	68
tia	('-son', '-son', '-son', '+son')	0.4348	10	23
tia	('-son', '-son', '+son', '+son')	0.4286	12	28
ia	('-son', '-son', '-son', '-son')	0.0435	2	46
a	('-son', '-son', '-son', '-son', '-son')	0.0833	1	12
tia	('-son', '-son', '-son', '-son', '-son')	0.5	6	12
ria	('-son', '+son', '-son')	0.0588	1	17
na	('-son', '-son', '-son', '-son', '-son')	0.0833	1	12
kia	('-son',)	0.0149	1	67
ina	('-son', '-son', '-son', '-son')	0.0435	2	46
kia	('-son', '+son')	0.0094	1	106
hia	('-son', '+son', '+son', '-son')	1.0	1	1
kia	('-son', '-son', '-son')	0.0441	3	68
na	('-son', '+son', '-son')	0.0588	1	17
ngia	('+son', '-son', '+son')	0.125	1	8
tia	('+son', '+son', '+son', '+son')	0.3333	1	3
kia	('+son', '-son', '+son', '-son')	0.1	1	10
hia	('-son', '+son', '-son')	0.0588	1	17
ria	('-son', '-son', '-son', '-son', '-son')	0.25	3	12
tia	('-son', '-son', '-son', '+son', '+son')	1.0	4	4
a	('-son', '-son', '-son', '+son')	0.4348	10	23
tia	('-son', '-son', '-son', '-son')	0.1957	9	46
ngia	('-son', '-son', '-son')	0.0441	3	68
ia	('-son', '-son', '-son', '+son')	0.087	2	23
tia	('-son', '-son', '-son', '-son', '+son')	0.7778	7	9
tia	('-son', '-son', '-son', '+son', '-son', '+son')	0.5	2	4
mia	('-son', '-son', '+son')	0.0154	1	65
ngia	('-son', '-son', '-son', '-son')	0.0652	3	46
tia	('-son', '-son', '-son', '+son', '-son')	0.6	3	5
ia	('-son', '-son', '-son', '-son', '-son', '-son')	0.3333	1	3
tia	('-son', '-son', '-son', '+son', '+son', '-son')	1.0	2	2
a	('-son', '-son', '+son', '-son')	0.4118	7	17
tia	('-son', '-son', '+son', '-son', '-son')	0.4	2	5
hia	('-son', '-son', '+son', '+son')	0.0714	2	28
tia	('-son', '-son', '+son', '+son', '+son')	0.8	4	5
tia	('-son', '-son', '+son', '+son', '-son')	1.0	3	3
ria	('-son', '-son', '+son', '-son', '-son')	0.6	3	5
ria	('-son', '-son', '+son', '-son')	0.0588	1	17
a	('-son', '-son', '+son', '+son')	0.3929	11	28
mia	('-son', '-son', '+son', '+son')	0.0357	1	28
hia	('-son', '-son', '+son', '+son', '+son')	0.2	1	5
ia	('-son', '-son', '+son', '-son')	0.0588	1	17
ngia	('-son', '-son', '+son')	0.0154	1	65
tia	('-son', '-son', '-son', '+son', '-son', '-son')	1.0	1	1
ngia	('-son', '-son', '-son', '-son', '-son')	0.0833	1	12
hia	('-son', '-son', '-son', '+son')	0.0435	1	23
hia	('-son', '-son', '-son', '-son')	0.0217	1	46
a	('-son', '-son', '-son', '-son', '+son')	0.1111	1	9
tia	('-son', '-son', '+son', '+son', '-son', '+son')	1.0	1	1
ngia	('-son', '-son', '+son', '-son')	0.1176	2	17
ngia	('-son', '-son', '+son', '-son', '-son', '-son')	1.0	1	1
hia	('-son', '-son', '+son', '-son')	0.0588	1	17
ia	('-son', '-son', '+son', '+son')	0.0714	2	28
ngia	('-son', '-son', '-son', '-son', '+son')	0.1111	1	9
na	('-son', '-son', '-son', '-son', '-son', '-son')	0.3333	1	3
ria	('-son', '-son', '-son', '-son', '-son', '-son', '-son')	1.0	1	1
hia	('-son', '-son', '-son', '+son', '-son', '+son')	0.5	2	4
ria	('-son', '-son', '-son', '-son')	0.0652	3	46
a	('-son', '-son', '-son', '+son', '-son')	0.2	1	5
ina	('-son', '-son', '-son', '-son', '-son', '-son')	0.3333	1	3
ngia	('-son', '-son', '-son', '+son', '-son')	0.2	1	5
kia	('-son', '-son', '+son')	0.0154	1	65
