('-s',)	ria	0.0746	5	67
('-s', '-s')	ngia	0.026	4	154
('-s',)	na	0.0448	3	67
('-s', '-s')	na	0.0584	9	154
('-s', '+s')	tia	0.3679	39	106
('-s', '+s', '-s', '+s')	tia	0.25	3	12
('+s',)	tia	0.2	6	30
('+s', '+s')	ngia	0.0426	2	47
('+s',)	hia	0.1333	4	30
('+s', '+s')	tia	0.1702	8	47
('-s', '-s')	ria	0.0584	9	154
('-s',)	hia	0.0448	3	67
('-s', '-s')	hia	0.0455	7	154
('-s', '+s')	a	0.4811	51	106
('+s', '-s')	na	0.0508	3	59
('+s',)	a	0.4	12	30
('+s', '-s', '-s')	na	0.25	2	8
('+s',)	ngia	0.0333	1	30
('+s', '-s')	ina	0.0169	1	59
('+s',)	mia	0.1333	4	30
('+s', '+s')	mia	0.0638	3	47
('-s', '-s')	tia	0.2403	37	154
('+s', '-s')	tia	0.1695	10	59
('-s',)	a	0.403	27	67
('-s',)	tia	0.1045	7	67
('-s',)	ina	0.1493	10	67
('-s', '-s')	a	0.487	75	154
('-s', '-s', '+s')	a	0.4	26	65
('-s', '-s', '-s', '-s')	a	0.4565	21	46
('-s', '+s', '+s')	tia	0.72	18	25
('-s', '-s')	nga	0.0065	1	154
('-s', '-s', '-s')	tia	0.3824	26	68
('-s', '+s', '-s', '+s')	a	0.75	9	12
('-s', '-s', '+s')	tia	0.4462	29	65
('-s', '-s')	ia	0.039	6	154
('-s', '+s')	na	0.0189	2	106
('-s', '-s', '-s')	na	0.1765	12	68
('-s', '-s', '-s', '-s')	na	0.1087	5	46
('-s', '-s', '+s', '+s', '+s', '+s')	a	1.0	1	1
('-s', '-s')	kia	0.013	2	154
('-s', '+s')	hia	0.0849	9	106
('-s', '+s')	mia	0.0189	2	106
('-s', '+s', '+s')	a	0.2	5	25
('-s',)	ia	0.0746	5	67
('-s',)	ngia	0.0746	5	67
('-s',)	nga	0.0149	1	67
('-s', '+s', '-s')	tia	0.5294	9	17
('-s', '-s', '+s')	hia	0.1077	7	65
('-s', '-s', '-s')	ria	0.1324	9	68
('-s', '+s', '+s')	hia	0.08	2	25
('-s', '+s', '-s', '-s')	a	1.0	1	1
('-s', '+s', '-s')	a	0.2941	5	17
('-s', '-s')	ina	0.026	4	154
('-s', '-s', '+s', '-s', '+s')	tia	0.8571	6	7
('-s', '-s', '-s')	hia	0.0294	2	68
('+s', '-s', '+s')	tia	0.75	6	8
('+s', '-s', '+s', '-s', '+s')	tia	1.0	1	1
('+s', '-s')	a	0.5424	32	59
('+s', '-s', '+s', '-s')	a	0.6	6	10
('+s', '-s', '+s')	hia	0.125	1	8
('+s', '-s', '-s')	ria	0.125	1	8
('+s', '+s', '+s')	tia	0.8333	5	6
('+s', '+s', '-s')	tia	0.5	7	14
('+s', '+s', '-s')	hia	0.2143	3	14
('+s', '+s')	a	0.5319	25	47
('+s', '+s')	hia	0.1489	7	47
('+s', '-s', '-s', '-s', '-s')	na	1.0	1	1
('+s', '-s')	ria	0.0169	1	59
('+s',)	ria	0.0333	1	30
('+s', '-s', '+s', '-s')	hia	0.3	3	10
('+s', '-s', '-s')	tia	0.625	5	8
('+s', '+s')	kia	0.0213	1	47
('+s', '-s')	kia	0.0339	2	59
('+s', '-s')	hia	0.1017	6	59
('+s', '+s')	ia	0.0213	1	47
('+s', '-s')	ia	0.0339	2	59
('+s',)	kia	0.0667	2	30
('-s', '-s', '+s', '-s')	tia	0.2941	5	17
('-s', '-s', '+s', '-s', '+s')	a	0.1429	1	7
