('+cont',)	ria	0.0303	1	33
('+cont', '+cont')	ngia	0.0294	2	68
('-cont',)	na	0.0469	3	64
('-cont', '-cont')	na	0.0347	5	144
('-cont', '+cont')	tia	0.3647	31	85
('-cont', '+cont', '-cont', '+cont')	tia	0.2222	2	9
('-cont',)	tia	0.1094	7	64
('-cont', '-cont')	ngia	0.0139	2	144
('-cont',)	hia	0.0625	4	64
('-cont', '-cont')	tia	0.2153	31	144
('-cont', '-cont')	ria	0.0417	6	144
('-cont', '-cont')	hia	0.0903	13	144
('-cont',)	ria	0.0781	5	64
('-cont', '+cont')	a	0.4941	42	85
('+cont',)	hia	0.0909	3	33
('+cont', '+cont')	na	0.0294	2	68
('+cont',)	a	0.5758	19	33
('+cont', '-cont', '-cont')	na	0.093	4	43
('+cont',)	ngia	0.0303	1	33
('+cont', '+cont')	ina	0.0147	1	68
('+cont',)	mia	0.0303	1	33
('+cont', '+cont')	mia	0.0294	2	68
('+cont',)	tia	0.1818	6	33
('+cont', '-cont')	tia	0.2319	16	69
('-cont',)	a	0.3125	20	64
('-cont',)	ina	0.1406	9	64
('+cont', '+cont')	a	0.5441	37	68
('+cont', '+cont')	tia	0.2353	16	68
('+cont', '-cont')	a	0.4638	32	69
('+cont', '-cont', '+cont')	a	0.375	9	24
('+cont', '-cont', '+cont', '-cont')	a	0.5	13	26
('+cont', '-cont', '-cont')	tia	0.3488	15	43
('+cont', '-cont')	nga	0.0145	1	69
('+cont', '+cont', '-cont')	tia	0.7	7	10
('+cont', '+cont', '+cont', '+cont')	a	0.8571	6	7
('+cont', '+cont', '+cont')	tia	0.6667	4	6
('+cont', '-cont')	ia	0.0435	3	69
('+cont', '-cont')	na	0.0725	5	69
('+cont', '-cont', '+cont', '-cont')	na	0.0385	1	26
('+cont', '-cont', '-cont', '+cont', '-cont', '+cont')	a	0.3333	1	3
('+cont', '-cont')	kia	0.029	2	69
('+cont', '+cont')	hia	0.1029	7	68
('+cont', '+cont', '-cont')	a	0.1	1	10
('+cont',)	ia	0.0303	1	33
('+cont',)	ina	0.0303	1	33
('-cont',)	mia	0.0469	3	64
('-cont',)	ngia	0.0781	5	64
('-cont', '+cont', '-cont')	na	0.2083	5	24
('-cont',)	nga	0.0156	1	64
('-cont', '-cont', '-cont')	tia	0.5111	23	45
('-cont', '-cont', '-cont')	hia	0.0667	3	45
('-cont', '+cont')	ria	0.0235	2	85
('-cont', '-cont', '+cont')	ria	0.0323	1	31
('-cont', '-cont', '+cont')	hia	0.129	4	31
('-cont', '-cont')	a	0.5	72	144
('-cont', '+cont', '-cont')	tia	0.6667	16	24
('-cont', '+cont', '-cont')	hia	0.0833	2	24
('-cont', '+cont', '-cont', '-cont')	a	1.0	1	1
('-cont', '+cont', '+cont')	a	0.2857	8	28
('-cont', '+cont')	hia	0.0353	3	85
('-cont', '-cont')	ina	0.0278	4	144
('-cont', '-cont', '+cont')	a	0.4194	13	31
('-cont', '+cont', '+cont')	tia	0.6786	19	28
('-cont', '-cont', '-cont', '-cont')	a	0.5294	9	17
('-cont',)	ia	0.0625	4	64
('-cont', '+cont', '-cont', '+cont')	a	0.6667	6	9
('-cont', '-cont', '+cont')	tia	0.3871	12	31
('-cont', '-cont', '-cont')	a	0.1778	8	45
('-cont', '-cont', '-cont')	na	0.1556	7	45
('-cont', '-cont', '-cont', '-cont', '-cont')	tia	0.3333	1	3
('-cont', '+cont', '+cont', '+cont', '+cont')	tia	1.0	2	2
('-cont', '-cont', '-cont')	ria	0.0889	4	45
('-cont', '-cont', '-cont', '-cont', '-cont')	na	0.6667	2	3
('-cont', '-cont', '-cont', '-cont')	hia	0.2353	4	17
('-cont', '-cont')	kia	0.0278	4	144
('-cont', '-cont')	ia	0.0347	5	144
('-cont', '-cont')	mia	0.0139	2	144
('-cont', '+cont')	mia	0.0118	1	85
('-cont', '+cont')	ia	0.0235	2	85
('-cont',)	kia	0.0469	3	64
('-cont', '-cont', '+cont', '+cont')	tia	1.0	2	2
('-cont', '-cont', '+cont', '-cont', '+cont')	a	0.5	1	2
('-cont', '+cont', '-cont', '-cont', '+cont')	tia	1.0	1	1
('-cont', '+cont')	ngia	0.0235	2	85
('+cont', '-cont')	ngia	0.0435	3	69
('+cont', '-cont')	hia	0.087	6	69
('+cont', '+cont', '-cont')	hia	0.2	2	10
('+cont', '+cont', '+cont')	a	0.3333	2	6
('-cont', '+cont')	na	0.0235	2	85
('-cont', '-cont', '-cont', '-cont')	tia	0.0588	1	17
('-cont', '-cont', '-cont', '-cont')	na	0.1176	2	17
('-cont', '-cont', '-cont', '-cont')	ia	0.0588	1	17
('-cont', '-cont', '-cont', '-cont', '+cont')	a	1.0	1	1
('-cont', '-cont', '+cont', '-cont', '+cont')	tia	0.5	1	2
('-cont', '-cont', '+cont', '-cont')	tia	1.0	1	1
('-cont', '+cont', '+cont')	hia	0.0357	1	28
('-cont', '+cont', '-cont', '+cont')	ina	0.1111	1	9
('-cont', '+cont', '-cont')	a	0.0417	1	24
('-cont', '-cont', '+cont')	kia	0.0323	1	31
('+cont', '-cont', '+cont')	ngia	0.125	3	24
('+cont', '-cont', '+cont')	tia	0.375	9	24
('+cont', '+cont', '+cont', '+cont')	tia	0.1429	1	7
('+cont', '-cont', '+cont', '-cont')	kia	0.0385	1	26
('+cont', '-cont', '-cont')	hia	0.0698	3	43
('+cont', '-cont', '+cont', '+cont')	tia	0.3043	7	23
('+cont', '-cont', '-cont', '-cont', '+cont')	ria	0.125	1	8
('+cont', '-cont', '-cont')	ria	0.1395	6	43
('+cont', '-cont', '+cont')	hia	0.0833	2	24
('+cont', '-cont', '-cont', '-cont', '+cont')	tia	0.875	7	8
('+cont', '-cont', '-cont')	a	0.2326	10	43
('+cont', '-cont', '+cont', '+cont')	a	0.6087	14	23
('+cont', '-cont', '+cont', '-cont')	tia	0.2308	6	26
('+cont', '-cont', '+cont', '-cont', '-cont')	tia	1.0	1	1
('+cont', '-cont', '+cont', '-cont')	ia	0.0385	1	26
('+cont', '-cont', '+cont', '+cont', '+cont')	tia	1.0	2	2
('+cont', '-cont', '+cont', '-cont', '+cont')	tia	1.0	2	2
('+cont', '-cont', '+cont', '+cont', '+cont', '+cont')	tia	1.0	1	1
('+cont', '-cont', '-cont')	mia	0.0233	1	43
('+cont', '-cont', '-cont', '-cont')	tia	0.3714	13	35
('+cont', '-cont', '-cont')	ngia	0.0465	2	43
('+cont', '-cont', '-cont', '+cont')	ngia	0.05	1	20
('+cont', '-cont', '-cont', '+cont', '-cont')	tia	0.8333	5	6
('+cont', '-cont', '-cont', '+cont', '+cont')	tia	0.6364	7	11
('+cont', '-cont', '-cont', '-cont')	a	0.2286	8	35
('+cont', '-cont', '-cont', '-cont', '-cont', '-cont')	ia	0.25	1	4
('+cont', '-cont', '-cont', '-cont', '-cont')	tia	0.4545	5	11
('+cont', '-cont', '-cont', '+cont')	tia	0.35	7	20
('+cont', '-cont', '-cont', '+cont', '-cont', '+cont')	tia	0.3333	1	3
('+cont', '-cont', '-cont', '+cont', '-cont', '-cont')	tia	1.0	1	1
('+cont', '-cont', '-cont', '+cont')	a	0.5	10	20
('+cont', '-cont', '-cont', '-cont')	hia	0.0857	3	35
('+cont', '-cont', '-cont', '-cont', '-cont')	ria	0.4545	5	11
('+cont', '-cont', '-cont', '-cont')	ria	0.1143	4	35
('+cont', '-cont', '-cont', '+cont')	mia	0.05	1	20
('+cont', '-cont', '-cont', '+cont', '+cont')	hia	0.0909	1	11
('+cont', '-cont', '-cont', '+cont')	ia	0.05	1	20
('+cont', '-cont', '-cont')	kia	0.0465	2	43
('+cont', '-cont', '-cont', '+cont', '+cont', '-cont')	tia	1.0	1	1
('+cont', '-cont', '-cont', '+cont', '+cont')	ngia	0.1818	2	11
('+cont', '-cont', '-cont', '-cont')	na	0.0571	2	35
('+cont', '-cont', '-cont', '+cont', '+cont')	a	0.0909	1	11
('+cont', '-cont', '-cont', '-cont')	ina	0.0286	1	35
('+cont', '-cont', '+cont', '-cont', '-cont', '+cont')	tia	1.0	1	1
('+cont', '-cont', '+cont', '-cont')	ngia	0.0769	2	26
('+cont', '-cont', '+cont', '-cont', '-cont', '-cont')	ngia	1.0	1	1
('+cont', '-cont', '+cont', '+cont', '-cont')	tia	1.0	3	3
('+cont', '-cont', '+cont', '-cont')	hia	0.0769	2	26
