ria	('+SG',)	0.0909	1	11
ngia	('+SG', '+SG')	0.0769	1	13
na	('-SG',)	0.0349	3	86
na	('-SG', '-SG')	0.0299	8	268
tia	('-SG', '-SG')	0.2575	69	268
tia	('-SG', '-SG', '-SG', '-SG')	0.3235	33	102
tia	('-SG',)	0.1512	13	86
ngia	('-SG', '-SG')	0.0261	7	268
hia	('-SG',)	0.0698	6	86
ria	('-SG', '-SG')	0.0299	8	268
hia	('-SG', '-SG')	0.097	26	268
ria	('-SG',)	0.0581	5	86
a	('-SG', '-SG')	0.4851	130	268
na	('-SG', '+SG')	0.0667	3	45
a	('-SG',)	0.3721	32	86
na	('-SG', '-SG', '-SG')	0.0783	13	166
ngia	('-SG',)	0.0698	6	86
ina	('-SG', '+SG')	0.0222	1	45
mia	('-SG',)	0.0465	4	86
mia	('-SG', '-SG')	0.0149	4	268
tia	('-SG', '+SG')	0.3111	14	45
a	('+SG',)	0.6364	7	11
ina	('-SG',)	0.1047	9	86
a	('+SG', '+SG')	0.5385	7	13
a	('+SG', '-SG')	0.575	23	40
tia	('+SG', '+SG')	0.3846	5	13
tia	('+SG', '-SG')	0.15	6	40
a	('+SG', '-SG', '-SG')	0.3333	2	6
a	('+SG', '-SG', '+SG', '-SG')	0.8571	6	7
tia	('+SG', '-SG', '-SG')	0.5	3	6
nga	('+SG', '-SG')	0.025	1	40
tia	('+SG', '+SG', '-SG')	1.0	3	3
ia	('+SG', '-SG')	0.05	2	40
na	('+SG', '-SG')	0.075	3	40
na	('+SG', '-SG', '-SG')	0.1667	1	6
na	('+SG', '-SG', '+SG', '-SG')	0.1429	1	7
a	('+SG', '-SG', '-SG', '-SG', '-SG', '-SG')	1.0	1	1
kia	('+SG', '-SG')	0.025	1	40
hia	('+SG', '-SG')	0.075	3	40
mia	('+SG', '-SG')	0.025	1	40
hia	('+SG',)	0.0909	1	11
ia	('+SG',)	0.0909	1	11
ina	('+SG',)	0.0909	1	11
na	('-SG', '+SG', '-SG')	0.1429	2	14
nga	('-SG',)	0.0116	1	86
tia	('-SG', '-SG', '-SG')	0.4759	79	166
hia	('-SG', '-SG', '-SG')	0.1024	17	166
ria	('-SG', '+SG')	0.0444	2	45
ria	('-SG', '-SG', '+SG')	0.0476	1	21
a	('-SG', '-SG', '-SG', '-SG')	0.3922	40	102
a	('-SG', '-SG', '-SG')	0.2349	39	166
ina	('-SG', '-SG')	0.0149	4	268
a	('-SG', '+SG')	0.5111	23	45
ia	('-SG',)	0.0465	4	86
tia	('-SG', '+SG', '-SG')	0.5714	8	14
a	('-SG', '+SG', '-SG', '+SG')	0.875	7	8
a	('-SG', '+SG', '-SG')	0.2857	4	14
tia	('-SG', '-SG', '-SG', '-SG', '-SG')	0.6452	20	31
tia	('-SG', '+SG', '-SG', '+SG', '-SG')	1.0	2	2
ria	('-SG', '-SG', '-SG')	0.0602	10	166
na	('-SG', '-SG', '-SG', '-SG', '-SG')	0.0645	2	31
hia	('-SG', '-SG', '-SG', '-SG')	0.0882	9	102
kia	('-SG', '-SG')	0.0187	5	268
ia	('-SG', '-SG')	0.0261	7	268
ia	('-SG', '+SG')	0.0222	1	45
kia	('-SG',)	0.0349	3	86
tia	('-SG', '-SG', '-SG', '+SG')	0.2727	3	11
a	('-SG', '-SG', '-SG', '-SG', '-SG')	0.0645	2	31
tia	('-SG', '-SG', '-SG', '-SG', '+SG')	0.6667	4	6
tia	('-SG', '-SG', '+SG')	0.5238	11	21
tia	('-SG', '+SG', '+SG')	1.0	1	1
a	('-SG', '-SG', '+SG')	0.3333	7	21
na	('-SG', '-SG', '-SG', '-SG')	0.0392	4	102
ia	('-SG', '-SG', '-SG', '-SG')	0.049	5	102
a	('-SG', '-SG', '-SG', '-SG', '+SG')	0.1667	1	6
tia	('-SG', '-SG', '+SG', '-SG', '+SG')	1.0	1	1
tia	('-SG', '-SG', '+SG', '-SG')	0.3077	4	13
ina	('-SG', '+SG', '-SG', '+SG')	0.125	1	8
ngia	('-SG', '+SG')	0.0222	1	45
kia	('-SG', '-SG', '+SG')	0.0476	1	21
ngia	('-SG', '-SG', '-SG')	0.0241	4	166
kia	('-SG', '-SG', '-SG', '-SG')	0.0098	1	102
ria	('-SG', '-SG', '-SG', '-SG', '+SG')	0.1667	1	6
a	('-SG', '-SG', '+SG', '-SG')	0.6154	8	13
tia	('-SG', '-SG', '+SG', '-SG', '-SG')	1.0	2	2
ngia	('-SG', '-SG', '+SG')	0.0476	1	21
ia	('-SG', '-SG', '+SG', '-SG')	0.0769	1	13
tia	('-SG', '-SG', '+SG', '+SG', '-SG')	1.0	2	2
tia	('-SG', '-SG', '+SG', '-SG', '+SG', '-SG')	1.0	1	1
mia	('-SG', '-SG', '-SG')	0.006	1	166
ngia	('-SG', '-SG', '-SG', '+SG')	0.0909	1	11
tia	('-SG', '-SG', '-SG', '+SG', '-SG')	0.75	6	8
ia	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.1	1	10
tia	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.4	4	10
a	('-SG', '-SG', '-SG', '+SG')	0.5455	6	11
ria	('-SG', '-SG', '-SG', '-SG', '-SG')	0.1613	5	31
ria	('-SG', '-SG', '-SG', '-SG')	0.0392	4	102
mia	('-SG', '-SG', '-SG', '-SG')	0.0098	1	102
hia	('-SG', '-SG', '-SG', '-SG', '-SG')	0.0323	1	31
ia	('-SG', '-SG', '-SG', '+SG')	0.0909	1	11
kia	('-SG', '-SG', '-SG')	0.0181	3	166
tia	('-SG', '-SG', '-SG', '-SG', '+SG', '-SG')	1.0	1	1
ngia	('-SG', '-SG', '-SG', '+SG', '+SG')	1.0	1	1
a	('-SG', '-SG', '-SG', '+SG', '-SG')	0.125	1	8
ina	('-SG', '-SG', '-SG', '-SG')	0.0098	1	102
ngia	('-SG', '-SG', '-SG', '-SG')	0.0392	4	102
ngia	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.1	1	10
ngia	('-SG', '-SG', '-SG', '+SG', '-SG')	0.125	1	8
na	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.1	1	10
ria	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	1.0	1	1
hia	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.2	2	10
ina	('-SG', '-SG', '-SG', '-SG', '-SG', '-SG')	0.1	1	10
ngia	('-SG', '-SG', '-SG', '-SG', '-SG')	0.0323	1	31
