ā	ia	0.25	1	4
au	ria	0.3182	7	22
auau	ngia	0.1111	1	9
ai	tia	0.0833	2	24
āi	na	0.2857	2	7
aiai	na	0.2	2	10
āii	tia	0.75	6	8
āiiii	tia	1.0	1	1
ao	na	0.1053	2	19
āi	tia	0.1429	1	7
āie	ngia	0.5	1	2
ao	hia	0.4737	9	19
auau	tia	0.4444	4	9
aii	ria	0.5	1	2
āii	ria	0.125	1	8
aoao	hia	0.3333	1	3
āuu	a	0.3333	1	3
aa	hia	0.1	2	20
aai	na	0.1818	2	11
āai	na	0.3077	4	13
āai	a	0.4615	6	13
aaai	na	0.1818	2	11
ao	ngia	0.0526	1	19
aoa	ina	0.5	1	2
au	mia	0.0909	2	22
auau	mia	0.1111	1	9
aaai	tia	0.1818	2	11
āee	tia	0.6667	2	3
auē	tia	1.0	1	1
auaa	tia	1.0	3	3
auu	tia	1.0	2	2
aee	tia	0.5	2	4
ae	a	1.0	14	14
aia	tia	0.8	4	5
āia	tia	1.0	1	1
āio	tia	1.0	2	2
eu	a	1.0	9	9
ee	a	0.6667	8	12
ea	ina	0.5	2	4
aeae	a	0.5	1	2
aee	a	0.5	2	4
aau	tia	0.5	2	4
āau	tia	0.5556	5	9
au	a	0.5	11	22
aa	a	0.6	12	20
āee	a	0.3333	1	3
auau	a	0.2222	2	9
ao	a	0.2632	5	19
āai	nga	0.0769	1	13
ai	a	0.6667	16	24
auae	tia	0.3333	1	3
āe	tia	1.0	2	2
eeee	a	0.4	2	5
eueu	tia	0.5	1	2
ī	a	1.0	2	2
iaia	tia	1.0	1	1
īaa	tia	0.5	2	4
iia	tia	1.0	3	3
iii	tia	0.6667	2	3
ia	ia	0.3333	1	3
ii	tia	0.1579	3	19
io	ia	0.1667	1	6
ia	na	0.3333	1	3
īoi	na	0.3333	1	3
īau	tia	1.0	2	2
īi	tia	0.6667	2	3
iiii	a	1.0	4	4
ii	a	0.6842	13	19
oe	a	0.9091	10	11
oou	tia	1.0	2	2
oi	a	1.0	10	10
oo	na	0.1111	2	18
