('low, back, unround, long',)	ia	1	0.25	4
('low, back, unround, short', 'high, central, round, short')	ria	5	0.2381	21
('low, back, unround, short', 'high, central, round, short', 'low, back, unround, short', 'high, central, round, short')	ngia	1	0.1111	9
('low, back, unround, short', 'high, front, unround, short')	tia	2	0.0833	24
('low, back, unround, long', 'high, front, unround, short')	na	1	0.2	5
('low, back, unround, short', 'high, front, unround, short', 'low, back, unround, short', 'high, front, unround, short')	na	2	0.2	10
('low, back, unround, long', 'high, front, unround, short', 'high, front, unround, short')	tia	5	0.7143	7
('low, back, unround, long', 'high, front, unround, short', 'high, front, unround, short', 'high, front, unround, short', 'high, front, unround, short')	tia	1	1.0	1
('low, back, unround, short', 'mid, back, round, short')	na	2	0.1111	18
('low, back, unround, long', 'high, front, unround, short')	tia	1	0.2	5
('low, back, unround, long', 'high, front, unround, short', 'mid, front, unround, short')	ngia	1	0.5	2
('low, back, unround, short', 'mid, back, round, short')	hia	9	0.5	18
('low, back, unround, short', 'high, central, round, short', 'low, back, unround, short', 'high, central, round, short')	tia	4	0.4444	9
('low, back, unround, short', 'high, front, unround, short', 'high, front, unround, short')	ria	1	0.5	2
('low, back, unround, long', 'high, front, unround, short', 'high, front, unround, short')	ria	1	0.1429	7
('low, back, unround, short', 'mid, back, round, short', 'low, back, unround, short', 'mid, back, round, short')	hia	1	0.3333	3
('low, back, unround, long', 'high, central, round, short', 'high, central, round, short')	a	1	0.3333	3
('low, back, unround, short', 'low, back, unround, short')	hia	1	0.0526	19
('low, back, unround, short', 'low, back, unround, short', 'high, front, unround, short')	na	3	0.2308	13
('low, back, unround, long', 'low, back, unround, short', 'high, front, unround, short')	na	4	0.3333	12
('low, back, unround, long', 'low, back, unround, short', 'high, front, unround, short')	a	5	0.4167	12
('low, back, unround, short', 'low, back, unround, short', 'low, back, unround, short', 'high, front, unround, short')	na	2	0.1667	12
('low, back, unround, short', 'mid, back, round, short')	ngia	1	0.0556	18
('low, back, unround, short', 'mid, back, round, short', 'low, back, unround, short')	ina	1	0.5	2
('low, back, unround, short', 'high, central, round, short')	mia	2	0.0952	21
('low, back, unround, short', 'high, central, round, short', 'low, back, unround, short', 'high, central, round, short')	mia	1	0.1111	9
('low, back, unround, short', 'low, back, unround, short', 'low, back, unround, short', 'high, front, unround, short')	tia	2	0.1667	12
('low, back, unround, long', 'mid, front, unround, short', 'mid, front, unround, short')	tia	2	0.6667	3
('low, back, unround, short', 'high, central, round, short', 'mid, front, unround, long')	tia	1	1.0	1
('low, back, unround, short', 'high, central, round, short', 'low, back, unround, short', 'low, back, unround, short')	tia	3	1.0	3
