ā	āia
ahu	ahuria
ahuahu	ahuahungia
ai	aitia
āki	ākina
akiaki	akiakina
ākiri	ākiritia
ākirikiri	ākirikiritia
ako	akona
āmi	āmitia
āmine	āminengia
amo	amohia
amuamu	amuamutia
ao	aohia
apiti	apitiria
āpiti	āpitiria
apo	apohia
apoapo	apoapohia
apu	apuria
āpuru	āpurua
ara	arahia
arahi	arahina
ārahi	ārahina
ārai	āraia
arataki	aratakina
aro	arongia
aroha	arohaina
aru	arumia
aruaru	aruarumia
atawhai	atawhaitia
ātete	ātetetia
ato	atohia
auē	auētia
aukaha	aukahatia
auru	aurutia
aweke	aweketia
awhe	awhea
awhi	awhitia
awhina	awhinatia
āwhina	āwhinatia
āwhio	āwhiotia
ehu	ehua
eke	ekea
epa	epaina
haehae	haehaea
haere	haerea
hahau	hahautia
hāhau	hāhautia
hahu	hahua
haina	hainatia
haka	hakaa
hākere	hākerea
haku	hakua
hakuhaku	hakuhakua
hāmene	hāmenetia
hane	hanea
hanga	hangaa
hao	haoa
hāpai	hāpainga
hari	haria
hauhake	hauhaketia
haupapa	haupapatia
hāwhe	hāwhetia
heke	hekea
here	herea
herehere	hereherea
heru	herua
heu	heua
heuheu	heuheutia
hī	hīa
hiahia	hiahiatia
hīanga	hīangatia
hihira	hihiratia
hihiri	hihiritia
hika	hikaia
hiki	hikitia
hiko	hikoia
hinga	hingana
hīpoki	hīpokina
hīrau	hīrautia
hīri	hīritia
hirihiri	hirihiria
hiwi	hiwia
hoe	hoea
hohou	hohoutia
hoki	hokia
hoko	hokona
hokohoko	hokohokona
hokomirimori	hokomirimoria
hongi	hongia
hongihongi	hongihongia
hono	honoa
hopu	hopukia
hora	horahia
hori	horia
horo	horoa
horo	horomia
horoi	horoia
horomi	horomia
hou	houhia
houhou	houhoua
hua	huaia
hua	huaina
huaki	huakina
huhu	huhua
hui	huia
huihui	huihuia
huke	hukea
huki	hukia
hukihuki	hukihukia
hume	humea
huna	hunaa
hunu	hunua
hunuhunu	hunuhunua
hūpeke	hūpeketia
hura	hurahia
huri	hurihia
huru	hurua
huti	hutia
iheuheu	iheuheua
ihi	ihia
ihiihi	ihiihia
inaki	inakitia
inoi	inoia
inu	inumia
iri	iria
kā	kāngia
kahaki	kahakina
kāhaki	kāhakina
kai	kainga
kaingākau	kaingākautia
kaiponu	kaiponuhia
kahu	kahuria
kākahu	kākahuria
kakaro	kakarohia
kakau	kakauria
kake	kakea
kanga	kangaa
kape	kapea
kapi	kapia
kapo	kapohia
kāpui	kāpuia
karakia	karakiatia
karanga	karangahia
karapoti	karapotia
karawhiu	karawhiua
kare	karea
kari	karia
karo	karohia
kata	kataina
kati	katia
kato	katohia
kau	kauria
kauhoe	kauhoetia
kaui	kauitia
kaumātua	kaumātuatia
kaupare	kauparea
kauwhau	kauwhautia
kawe	kawea
kāwhaki	kāwhakina
kāwiri	kāwiritia
keri	keria
ketu	ketua
ketuketu	ketuketua
keu	keua
kī	kīa
kihi	kihia
kiki	kikia
kikini	kikinitia
kimi	kimihia
kini	kinitia
kite	kitea
ko	koia
kō	kōia
koa	koaina
koara	koaratia
kōhari	kōharitia
kohi	kohia
kohikohi	kohikohia
kōhua	kōhuatia
kōhue	kōhuetia
kōhure	kōhurea
kōhuru	kōhurutia
koingo	koingotia
kōkiri	kōkiritia
koko	kokoa
kōmiri	kōmiria
komo	komotia
komutu	komutua
kōnatu	kōnatua
kōpake	kōpaketia
kōpaki	kōpakina
kopani	kopania
kōpani	kōpania
kōpare	kōparea
kōpenu	kōpenutia
kōpenupenu	kōpenupenutia
kopi	kopia
kōpiro	kōpiroa
kōranga	kōrangatia
kōrero	kōrerotia
koro	koroa
kōrori	kōroria
korou	koroutia
kote	kotehia
kōti	kōtia
kōtui	kōtuia
kowhaki	kowhakina
kowhete	kowhetetia
kōwhiri	kōwhiria
kōwhiti	kōwhitihia
kuhu	kuhua
kuku	kukua
kume	kumea
kumu	kumua
kuru	kurua
kuti	kutia
mahanga	mahangatia
mahara	maharatia
māharahara	māharaharatia
mahi	mahia
mahimahi	mahimahia
maka	makaa
mākiri	mākirihia
mākutu	mākuturia
maminga	mamingatia
manaaki	manaakitia
manako	manakohia
mania	maniaa
mapu	mapua
mārau	māraua
mārena	mārenatia
maro	marohia
mātaki	mātakina
mātakitaki	mātakitakina
mātau	mātauria
mate	matea
mau	mauria
māunu	māunutia
mea	meatia
meke	mekea
mekemeke	mekemekehia
memeke	memekehia
mīharo	mīharotia
mihi	mihia
minita	minitatia
miraka	mirakatia
miri	miria
miro	miroa
miti	mitia
mitimiti	mitimitia
moe	moea
mōhio	mōhiotia
mōkete	mōketetia
momi	momia
mono	monokia
moto	motokia
motu	motuhia
mōunu	mōunutia
mui	muia
muimui	muimuia
muku	mukua
mukumuku	mukumukua
muna	munaia
muru	murua
mutumutu	mutumutua
nanao	nanaomia
nao	naomia
narunga	narungatia
nati	natia
natu	natua
nēhi	nēhitia
nehu	nehua
neke	nekehia
nekeneke	nekenekehia
ngahu	ngahua
ngaki	ngakia
ngare	ngarea
ngaro	ngaromia
ngau	ngaua
ngaungau	ngaungaua
ngote	ngotea
niko	nikoa
noa	noatia
noho	nohoia
nuka	nukaia
nukarau	nukarautia
nuku	nukuhia
nukunuku	nukunukuhia
numi	numia
numu	numua
oati	oatitia
oka	okaina
oke	okea
oma	omakia
onioni	onionitia
ono	onokia
opa	opaina
ore	orea
oro	orohia
ota	otaina
pā	pāngia
pae	paea
pāera	pāeratia
pāhua	pāhuatia
pai	paingia
paihere	paiheretia
paikarāihe	paikarāihetia
pāike	pāikea
paka	pakatia
pakanga	pakangatia
pākaru	pākarua
pākarukaru	pākarukarua
pākawe	pākawetia
pana	panaa
panga	pangaa
pani	pania
panipani	panipania
pānui	pānuitia
pao	paoa
paora	paoratia
paoro	paorotia
parai	paraitia
parakitihi	parakitihitia
parani	paranitia
parau	parautia
pare	parea
paro	paroa
pātai	pātaia
pati	patia
patō	patōhia
patu	patua
pauna	paunatia
pāuna	pāunatia
paura	pauratia
pāwhara	pāwharatia
pēhea	pēheatia
pēhi	pēhia
pehipehi	pehipehia
pei	peia
peka	pekaina
pēke	pēketia
pēnā	pēnātia
pēnei	pēneitia
pērā	pērātia
pere	perea
perehi	perehitia
pīangi	pīangitia
pīkau	pīkautia
piki	pikitia
piko	pikoa
pine	pinea
pīnohi	pīnohitia
pīoi	pīoitia
piro	pirongia
piu	piua
piupiu	piupiua
pō	pōngia
pōhēhē	pōhēhētia
pōhiri	pōhiritia
poipoi	poipoia
