('high, central, round, short',)	ria	21	0.1288	163
('mid, back, round, short',)	hia	24	0.2087	115
('high, front, unround, short',)	ria	4	0.0147	273
('low, back, unround, short',)	hia	8	0.0497	161
('high, central, round, short',)	mia	6	0.0368	163
('mid, back, round, short',)	mia	4	0.0348	115
('high, central, round, short',)	hia	7	0.0429	163
('high, front, unround, short',)	hia	11	0.0403	273
('mid, front, unround, short',)	hia	6	0.0451	133
('mid, back, round, long',)	hia	1	0.1667	6
('high, central, round, long',)	hia	1	0.125	8
('mid, back, round, short',)	ria	5	0.0435	115
('low, back, unround, short',)	ria	1	0.0062	161
('high, central, round, long',)	ria	2	0.25	8
('low, back, unround, long',)	ria	2	0.1053	19
