piro	pirongia
hoko	hokona
pā	pāngia
unu	unumia
rori	roria
tute	tutea
whakawātea	whakawāteatia
whakamahi	whakamahia
tukutuku	tukutukua
hokohoko	hokohokona
punga	pungaa
kumu	kumua
wehewehe	wehewehea
whakamōhio	whakamōhiotia
whakataetae	whakataetaengia
tangi	tangihia
kai	kainga
popohe	pōhea
whakapoto	whakapotohia
ruaki	ruakina
kauhoe	kauhoetia
totoro	tōrona
kauwhau	kauwhautia
miraka	mirakatia
whakauru	whakaurua
wani	wania
rurerure	rurerurea
horo	horoa
hongi	hongia
whakaparu	whakaparua
kowhaki	kowhakina
kume	kumea
whakawhiti	whakawhitia
whakahorohoro	whakahorohorotia
pērā	pērātia
kōranga	kōrangatia
whanowhano	whanowhanoa
whakakakara	whakakakaratia
tinei	tineia
āpiti	āpitiria
tūpeke	tūpeketia
riri	riria
whakamānu	whakamānutia
pākaru	pākarua
whakatahuri	whakatahuringia
pūremu	pūremutia
tinihanga	tinihangatia
haka	hakaa
tānumi	tānumitia
mīharo	mīharotia
whakamahana	whakamahanatia
whakakino	whakakinotia
toutou	toutoua
tāke	tāketia
whītiki	whītikiria
whakangahoro	whakangahorotia
whakatangitangi	whakatangitangihia
whakawhirinaki	whakawhirinakitia
hura	hurahia
unu	unuhia
perehi	perehitia
āpuru	āpurua
ahu	ahuria
mārau	māraua
whatu	whaturia
hume	humea
apoapo	apoapohia
hinga	hingana
kōpaki	kōpakina
pātai	pātaia
heu	heua
heru	herua
whakaurunga	whakaurungatia
titi	titia
ākiri	ākiritia
tapa	tapaia
kōtui	kōtuia
whakaparahako	whakaparahakotia
tauaarai	tauaaraitia
tūwhiti	tūwhititia
manako	manakohia
tapatapa	tapatapaia
tauhere	tauherea
tāpuke	tāpuketia
whana	whanaa
pākawe	pākawetia
nuku	nukuhia
tatari	tāria
nēhi	nēhitia
rangirangi	rangirangia
totohe	tōhea
tari	taria
waikeri	waikeringia
rīpeka	rīpekatia
kōpake	kōpaketia
tītari	tītaria
karanga	karangahia
heke	hekea
whakamātau	whakamātauria
pānui	pānuitia
kihi	kihia
whakaae	whakaaetia
taupare	tauparea
kapo	kapohia
whakakapi	whakakapia
hirihiri	hirihiria
nao	naomia
puri	puritia
kōwhiri	kōwhiria
aro	arongia
whakamārama	whakamāramatia
hihira	hihiratia
kopi	kopia
kakau	kakauria
raho	rahoa
tohi	tohia
mahanga	mahangatia
whakarāwai	whakarāwaitia
rewherī	rewherītia
piupiu	piupiua
tunutunu	tunutunua
taunaha	taunahatia
parau	parautia
momoto	motokia
whāwhā	whāwhāria
kini	kinitia
whakangāwari	whakangāwarihia
whakareri	whakareria
auē	auētia
tae	taea
rapi	rapihia
kare	karea
wawata	wawatatia
wareware	warewaretia
tāwhiri	tāwhiritia
hahau	hahautia
rautao	rautaongia
paora	paoratia
whakatakitaki	whakatakitakina
apu	apuria
mui	muia
tātāwhi	tātāwhia
patu	patua
whakarāpopoto	whakarāpopotongia
rāhui	rāhuitia
ehu	ehua
tīhae	tīhaea
amuamu	amuamutia
ui	uia
apo	apohia
romi	romia
mihi	mihia
hīpoki	hīpokina
whakamāori	whakamāoritia
huhu	huhua
uruumu	uruumutia
tāpapa	tāpapatia
rāwhera	rāwheratia
unga	ungaa
ngaungau	ngaungaua
kati	katia
waipuke	waipuketia
whakakai	whakakairia
whakapai	whakapaia
tapa	tapahia
rohe	rohea
oka	okaina
tārona	tāronatia
amo	amohia
