rīpeka	rīpekatia
kōpake	kōpaketia
tītari	tītaria
karanga	karangahia
heke	hekea
whakamātau	whakamātauria
pānui	pānuitia
kihi	kihia
whakaae	whakaaetia
taupare	tauparea
kapo	kapohia
whakakapi	whakakapia
hirihiri	hirihiria
nao	naomia
puri	puritia
kōwhiri	kōwhiria
aro	arongia
whakamārama	whakamāramatia
hihira	hihiratia
kopi	kopia
kakau	kakauria
raho	rahoa
tohi	tohia
mahanga	mahangatia
whakarāwai	whakarāwaitia
rewherī	rewherītia
piupiu	piupiua
tunutunu	tunutunua
taunaha	taunahatia
parau	parautia
momoto	motokia
whāwhā	whāwhāria
kini	kinitia
whakangāwari	whakangāwarihia
whakareri	whakareria
auē	auētia
tae	taea
rapi	rapihia
kare	karea
wawata	wawatatia
wareware	warewaretia
tāwhiri	tāwhiritia
hahau	hahautia
rautao	rautaongia
paora	paoratia
whakatakitaki	whakatakitakina
apu	apuria
mui	muia
tātāwhi	tātāwhia
patu	patua
whakarāpopoto	whakarāpopotongia
rāhui	rāhuitia
ehu	ehua
tīhae	tīhaea
amuamu	amuamutia
ui	uia
apo	apohia
romi	romia
mihi	mihia
hīpoki	hīpokina
whakamāori	whakamāoritia
huhu	huhua
uruumu	uruumutia
tāpapa	tāpapatia
rāwhera	rāwheratia
unga	ungaa
ngaungau	ngaungaua
kati	katia
waipuke	waipuketia
whakakai	whakakairia
whakapai	whakapaia
tapa	tapahia
rohe	rohea
oka	okaina
tārona	tāronatia
amo	amohia
whakapaipai	whakapaipaitia
rere	rerengia
rarawhi	rarawhia
ruku	rukuhia
pōhēhē	pōhēhētia
whakatika	whakatikaia
whakahohori	whakahohoritia
oati	oatitia
whakarere	whakarērea
mātau	mātauria
ua	uaina
whakamau	whakamaua
tāpui	tāpuia
awhi	awhitia
āwhio	āwhiotia
tāwharau	tāwharautia
rarapi	rarapihia
