whakaemi	whakaemihia
whakataratara	whakataratarahia
whakahāwea	whakahāweatia
whakamine	whakaminea
whakarapihi	whakarapihitia
whakaririki	whakaririkitia
taua	tauatia
tupoki	tupokina
whakapiata	whakapiatatia
hākere	hākerea
tītama	tītamatia
rotu	rotua
kote	kotehia
titiro	tirohia
whai	whaia
whakahoki	whakahokia
tāuwhi	tāuwhia
whakatūpato	whakatūpatoria
ukui	ukuia
heuheu	heuheutia
pāera	pāeratia
pakanga	pakangatia
whera	wherahia
kokopi	kopia
kakapi	kapia
takawiri	takawiritia
whakarārangi	whakarārangitia
whakamahara	whakamaharatia
poka	pokaia
whakangaro	whakangaromia
whakakorokoro	whakakorokorotia
kaumātua	kaumātuatia
pūawhe	pūawhea
whakatoi	whakatoitia
hāpai	hāpainga
whakatapu	whakatapuria
ngau	ngaua
whakaaro	whakaarotia
whakamihi	whakamihia
whakatikatika	whakatikatikaina
taumau	taumautia
tautohe	tautohetia
haere	haerea
taunga	taungatia
whakaene	whakaenetia
mākutu	mākuturia
poke	pokea
whetūrangi	whetūrangitia
koko	kokoa
tohatoha	tohatohaina
whakangaere	whakangaerea
whakahua	whakahuatia
whakariro	whakariroia
tungi	tungia
tuwha	tuwhaia
haupapa	haupapatia
whakahohoro	whakahohorotia
whaina	whainatia
whakawherū	whakawherūtia
tārai	tāraia
wero	werohia
whakamātautau	whakamātautauria
ripi	ripia
pōtae	pōtaea
tomo	tomokia
tāhae	tāhaetia
tuaki	tuakina
whakamataku	whakamatakuria
whakarewa	whakarewaia
whakamōkā	whakamōkātia
rawhi	rawhia
tātari	tātaritia
kōti	kōtia
rumaki	rumakina
tītore	tītorea
waea	waeatia
pare	parea
ātete	ātetetia
purūma	purūmatia
whakawehi	whakawehia
āmi	āmitia
whakataurite	whakatauritea
whakahoro	whakahoroa
paura	pauratia
mau	mauria
wai	waia
whānako	whānakohia
pana	panaa
uta	utaina
oro	orohia
mātaki	mātakina
tatā	tatāngia
