whakatipu	whakatipuria
kape	kapea
karapoti	karapotia
whakaakakahu	whakaakakahuria
whakarongo	whakarongohia
kōmiri	kōmiria
pōpopo	pōpopotia
whakarawe	whakarawea
whakakikī	whakakikītia
huti	hutia
tīkoko	tīkokoa
rākei	rākeitia
arahi	arahina
whakakōpeke	whakakōpeketia
papare	parea
hī	hīa
whakamārie	whakamārietia
koa	koaina
whakairo	whakairohia
nukunuku	nukunukuhia
pēke	pēketia
urungi	urungitia
whiriwhiri	whiriwhiria
ūtonga	ūtongatia
tupehau	tupehaukia
tanu	tanumia
māharahara	māharaharatia
whakapakoko	whakapakokotia
inaki	inakitia
pere	perea
whiti	whitia
umere	umeretia
tuki	tukia
taiari	taiaritia
rau	raua
whakamāoa	whakamāoatia
pāhua	pāhuatia
whakaako	whakaakona
mōkete	mōketetia
tauapo	tauapohia
ruruku	rurukutia
whakanui	whakanuia
whakangau	whakangaua
ware	warea
iri	iria
peka	pekaina
huki	hukia
karawhiu	karawhiua
whāriki	whārikitia
hāhau	hāhautia
tua	tuaina
hari	haria
whakawhānau	whakawhānautia
hao	haoa
haehae	haehaea
tautohetohe	tautohetohetia
tūā	tūāina
pai	paingia
whati	whatiia
whakawiri	whakawiria
tānapu	tānaputia
kōnatu	kōnatua
hokomirimori	hokomirimoria
ngahu	ngahua
whakaara	whakaarahia
raupatu	raupatutia
whakaatu	whakaaturia
atawhai	atawhaitia
poro	poroa
huru	hurua
kā	kāngia
whakatū	whakatūria
whakakoromeke	whakakoromeketia
tia	tiaina
awhe	awhea
whāki	whākina
whakapā	whakapākia
waiata	waiatatia
whakakao	whakakaotia
papaki	pākia
tīkaro	tīkarohia
whakakāhore	whakakāhoretia
ato	atohia
purei	pureitia
whakaari	whakaaria
natu	natua
pō	pōngia
tohu	tohua
mitimiti	mitimitia
miro	miroa
pao	paoa
kohikohi	kohikohia
