whakamanawa	whakamanawatia
whakahere	whakaherea
tou	toua
whakaatamira	whakaatamiratia
mutumutu	mutumutua
tāwhiu	tāwhiua
whakakahaki	whakakahakitia
rara	raraa
kari	karia
paro	paroa
whakatākaro	whakatākarotia
ringi	ringihia
whakaingoa	whakaingoatia
manaaki	manaakitia
whakamāmā	whakamāmātia
kōwhiti	kōwhitihia
whakakopi	whakakopitia
kuku	kukua
huaki	huakina
tātua	tātuatia
poipoi	poipoia
ropi	ropia
nanati	nātia
whakaoho	whakaohotia
whakatōpū	whakatōpūtia
tūtui	tūtuia
waru	waruhia
mimi	mīa
numu	numua
tauwehe	tauwehea
paihere	paiheretia
wawae	wawaea
whakapōhēhē	whakapōhēhēngia
whaiere	whaieretia
tapiki	tapikitia
wetewete	wetewetekia
whakakite	whakakitea
riringi	riringihia
whakaranu	whakaranua
pūkai	pūkaitia
ono	onokia
tae	tāea
whakaheke	whakahekea
whakapuaki	whakapuakina
runa	runaa
rahu	rahua
tono	tonoa
whakaipoipo	whakaipoipotia
pēnā	pēnātia
whakakore	whakakoretia
whāngai	whāngaia
kuhu	kuhua
hiwi	hiwia
whakahemo	whakahemoa
pupuhi	pūhia
tuku	tukua
hora	horahia
whakarite	whakaritea
tōhi	tōhitia
āwhina	āwhinatia
whakananu	whakananua
mōhio	mōhiotia
tāpae	tāpaea
pēnei	pēneitia
noa	noatia
whakatupu	whakatupuria
pine	pinea
tarai	taraia
hua	huaina
tāwhi	tāwhia
maminga	mamingatia
aukaha	aukahatia
whakarere	whakarerea
rūrū	rūrūhia
whai	whāia
pupuru	purutia
apiti	apitiria
herehere	hereherea
miti	mitia
whata	whataa
tiro	tirohia
whakaahuru	whakaahurutia
iheuheu	iheuheua
mukumuku	mukumukua
whawhai	whawhaitia
whakawhiwhi	whakawhiwhia
numi	numia
kōhuru	kōhurutia
whakaiti	whakaitia
pōrangi	pōrangitia
korou	koroutia
tiu	tiua
