whakakāniwha	whakakāniwhatia
whakatakoto	whakatakotoria
taki	takina
kākahu	kākahuria
whakamārōrō	whakamārōrōtia
kukume	kūmea
hunu	hunua
komo	komotia
titoko	titokona
aruaru	aruarumia
ako	akona
pū	pūia
whakapono	whakaponohia
whakaako	whakaakoria
whakakoi	whakakoia
tau	tauria
puta	putaina
mōunu	mōunutia
huhuti	hūtia
pōwhiri	pōwhiritia
wāhi	wāhia
tuitui	tuituia
kōhure	kōhurea
ao	aohia
hoki	hokia
meke	mekea
tupu	tupuria
whakakaha	whakakahangia
whakatahe	whakatahea
whakamīharo	whakamīharotia
whakahau	whakahaua
whakawhiu	whakawhiua
hika	hikaia
tīmata	tīmataria
māunu	māunutia
taupoki	taupokina
whawhao	whawhao
wewete	werekia
whakahanumi	whakahanumitia
whaiwhai	whaiwhaia
ara	arahia
toro	torona
pūāwai	pūāwaitia
here	herea
tahi	tahia
kuru	kurua
turuki	turukitia
mahara	maharatia
kō	kōia
pou	poua
whakawāwā	whakawāwātia
hakuhaku	hakuhakua
whakangahau	whakangahautia
pōkai	pōkaia
rūri	rūritia
rēhita	rēhitatia
tūmanako	tūmanakohia
āmine	āminengia
rārangi	rārangitia
whakatata	whakatatangia
aweke	aweketia
tohe	tohea
kaupare	kauparea
weku	wekua
whakatau	whakatauria
whakaeke	whakaekea
memeke	memekehia
kakaro	kakarohia
kōpenu	kōpenutia
rore	rorea
whakahāwe	whakahāwea
whakaahu	whakaahutia
whakakōrua	whakakōruatia
puare	puaretia
mania	maniaa
whatiwhati	whatiwhatia
āki	ākina
pīangi	pīangitia
wāwāhi	wāwāhia
nekeneke	nekenekehia
mekemeke	mekemekehia
kite	kitea
takoto	takotoria
kuti	kutia
tātāmi	tātāmia
tuketuke	tuketukea
mono	monokia
ketu	ketua
oma	omakia
hori	horia
koara	koaratia
kaiponu	kaiponuhia
