taka	takaina
neke	nekehia
rehu	rehua
whakatanuku	whakatanukutia
ngaro	ngaromia
rutu	rutua
rapa	rapangia
tamumu	tamumutia
tāpāpā	tāpāpātia
rāpoi	rāpoia
whakaahua	whakaahuatia
raka	rakatia
rīngi	rīngihia
waimeha	waimehatia
whakahaere	whakahaerea
opa	opaina
pani	pania
taiapu	taiaputia
hoe	hoea
tīhore	tīhorea
whakatūtehu	whakatūtehutia
waha	wahaa
whakahinga	whakahingaia
whakaroa	whakaroatia
ranga	rangaa
epa	epaina
kaingākau	kaingākautia
pēhi	pēhia
ketuketu	ketuketua
mea	meatia
karakia	karakiatia
pehipehi	pehipehia
whakautu	whakautua
parakitihi	parakitihitia
mapu	mapua
kōrero	kōrerotia
mahimahi	mahimahia
hopu	hopukia
tāmau	tāmautia
ota	otaina
pupuri	puritia
uku	ukuia
inu	inumia
hāwhe	hāwhetia
kimi	kimihia
whakanoa	whakanoatia
ihiihi	ihiihia
tipu	tipua
aroha	arohaina
tūtaki	tūtakina
tāhawahawa	tāhawahawatia
tiriwā	tiriwātia
patō	patōhia
whakaea	whakaeatia
whakaipo	whakaipotia
pāike	pāikea
whiri	whiria
pēhea	pēheatia
whakamamae	whakamamaetia
tautoko	tautokona
takakino	takakinotia
whakatō	whakatōkia
tōkari	tōkaritia
utu	utua
whakamoe	whakamoea
kōpiro	kōpiroa
tohu	tohuria
tāwhio	tāwhiotia
whāwhāi	whāwhāitia
raweke	raweketia
waiho	waihotia
hua	huaia
pona	ponaia
kāwiri	kāwiritia
poroporo	poroporotia
hahu	hahua
rui	ruia
kowhete	kowhetetia
tiki	tīkina
whakatina	whakatinaia
tiriwa	tiriwatia
kāhaki	kāhakina
whakawhāiti	whakawhāititia
panipani	panipania
whakapiri	whakapiria
pīkau	pīkautia
muimui	muimuia
tūhono	tūhonoa
kake	kakea
whakainu	whakainumia
whakarato	whakaratohia
akiaki	akiakina
