ahuahu	ahuahungia
ranu	ranua
rīhi	rīhitia
whakamātaotao	whakamātaotaoria
pākarukaru	pākarukarua
tiki	tikina
wepu	wepua
tākaro	tākarohia
pāuna	pāunatia
kōpare	kōparea
taraiwa	taraiwatia
hou	houhia
niko	nikoa
whakamate	whakamatea
pei	peia
tāmaru	tāmarutia
whakaputa	whakaputaina
tahu	tahuna
tatau	tatauria
whakapuhi	whakapuhia
tupua	tupuatia
nati	natia
whiu	whiua
narunga	narungatia
pōuto	pōutokia
tutu	tutua
hane	hanea
tūkino	tūkinotia
muku	mukua
tui	tuia
piko	pikoa
whakapakeke	whakapakeketia
piki	pikitia
rahoraho	rahorahoa
whakapae	whakapaea
whakanoho	whakanohoia
hūpeke	hūpeketia
pae	paea
nanao	nanaomia
riri	riria
rehe	rehea
uiui	uiuia
kopani	kopania
whakamuri	whakamuria
popoki	pōkia
kāpui	kāpuia
kawe	kawea
tango	tangohia
hanga	hangaa
ngaki	ngakia
tope	topea
kōpani	kōpania
tāpuni	tāpunia
timere	timerea
tohu	tohungia
moe	moea
tīwara	tīwarahia
tao	taona
maro	marohia
ārai	āraia
mātakitaki	mātakitakina
tākiri	tākiritia
whakaero	whakaerotia
ruke	rukehia
ngote	ngotea
ko	koia
awhina	awhinatia
pati	patia
tuhituhi	tuhituhia
minita	minitatia
hongihongi	hongihongia
mate	matea
kiki	kikia
tupeke	tupeketia
hāmene	hāmenetia
muna	munaia
whakapuhari	whakapuharia
whakapapa	whakapapatia
tū	tūria
momi	momia
noho	nohoia
wehe	wehea
whakapua	whakapuatia
pīnohi	pīnohitia
parai	paraitia
whakatairanga	whakatairangatia
whakatiraha	whakatirahatia
ā	āia
mākiri	mākirihia
kōrori	kōroria
kāwhaki	kāwhakina
tāpiri	tāpiritia
